AKR1D1	SIRT1
SIRT1	UBE2I
UBE2I	ETS1
SIRT1	TP53
SIRT1	HSP90AA1
HSP90AA1	NFIC
SIRT1	CREB1
SIRT1	STAT3
STAT3	NFKB1
SIRT1	RELA
SIRT1	RB1
RB1	MYC
UBE2I	RXRA
SIRT1	PPARA
PPARA	RXRB
PPARA	RXRG
STAT3	SP1
SIRT1	E2F1
E2F1	SP4
RELA	POU2F1
STAT3	NFKB2
SIRT1	JUN
SIRT1	ESR1
RB1	TFAP2A
ESR1	SP3
GLI3	HHIP
TP53	GADD45B
ZBTB17	CDKN2B
ARNTL	BHLHE40
TCF7L2	MITF
RELA	CCL4L1
RBPJL	HES5
RBPJ	HES1
RBPJ	HES5
TP53	IGFBP3
TP53	GTSE1
TP53	SERPINB5
TP53	RPRM
TP53	BAI1
TP53	BAX
STAT3	VEGFB
ETS1	MMP1
NFKB2	CCND1
CREB3	BCL2
PPARA	SLC27A4
PPARA	LPL
PPARG	SLC27A4
PPARG	PLIN1
MAPK8	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL18
MAPK13	IL23A
MAPK13	TNF
RELA	CEBPB
RELA	IL1A
RELA	IL18
RELA	IL23A
LEF1	FOSL1
NFIC	ADA
ESR1	APOE
TP53	AQP1
ATF4	ASNS
TFAP2A	CALB2
ATF1	CALCA
NFIC	CYP11A1
NFKB1	CYP11A1
PPARG	EGFR
REL	EGFR
SP1	GJA1
NFIC	GOT1
CEBPA	GPX4
TFAP2A	GPX4
MYB	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
NFIC	TFPI2
SP3	TNF
SPI1	TNF
E2F4	TOP1
