DRD1	RANBP9
RANBP9	AR
AR	PAX6
RANBP9	ESR1
ESR1	RELA
RANBP9	NR3C1
NR3C1	JUN
ESR1	TP53
NR3C1	CREB1
ESR1	NCOR2
NCOR2	RARB
NR3C1	NFKB1
ESR1	SP1
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	PAX6
EP300	RELA
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	TP53
EP300	CREB1
HSP90AA1	PRKD2
PRKD2	RARB
EP300	NFKB1
HSP90AA1	SP1
DRD2	CALM1
CALM1	AR
DRD2	FLNA
FLNA	REL
REL	RELA
FLNA	RBM39
RBM39	JUN
FLNA	RANBP2
RANBP2	TP53
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	NCOA1
NCOA1	RARB
REL	NFKB1
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD3	EPB41L1
COPS5	SMAD4
SMAD4	PAX6
DRD3	GIPC1
GIPC1	OGT
OGT	RELA
COPS5	JUN
COPS5	TP53
GIPC1	MCM7
MCM7	FHL2
FHL2	CREB1
COPS5	NFKB1
MCM7	RB1
RB1	SP1
DRD4	GRB2
GRB2	EP300
DRD4	STUB1
STUB1	RELA
DRD4	ARRB2
ARRB2	MAP2K4
MAP2K4	JUN
STUB1	TP53
ARRB2	AKT1
AKT1	CREB1
ARRB2	RPA1
RPA1	CCNH
CCNH	RARB
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	MAPK1
MAPK1	SP1
HIF1A	PFKFB4
HIF1A	PFKL
HNF1A	HNF4A
PIK3CD	AKT3
RXRB	OLR1
MYD88	IFNA14
NFYC	HLA-DQA2
NFIC	ARG1
ATF3	ASNS
STAT1	EGFR
STAT5B	EGFR
TFAP2A	HMOX1
NFIC	HRAS
E2F4	HSP90B1
SPI1	IL1B
