ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	CLTC
CLTC	EP300
EP300	HIF1A
EP300	NFKB1
AP2M1	BCR
BCR	TP53
EP300	ETS1
ADRA1D	GOPC
GOPC	RELA
RELA	JUN
RELA	HIF1A
RELA	NFKB1
ADRA1D	DTNA
DTNA	NMT1
NMT1	TP53
DTNA	ACTB
ACTB	EP300
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	HIF1A
UCHL1	COPS5
COPS5	NFKB1
UCHL1	TP53
UCHL1	UBE2I
UBE2I	ETS1
ADRA2B	UCHL1
UBE2I	JUN
ADRA2C	UCHL1
ADRB1	ARRB2
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	IGF1R
IGF1R	TP53
JUN	ETS1
ADRB2	STAT3
STAT3	JUN
STAT3	HIF1A
STAT3	NFKB1
ADRB2	TSG101
TSG101	TP53
STAT3	EP300
ADRB3	SRC
SRC	STAT3
SRC	TP53
SRC	CREBBP
CREBBP	ETS1
NFYB	HLA-DPA1
NFYB	HLA-DPB1
NFYB	HLA-DQA1
NFYB	HLA-DQA2
NFYB	HLA-DRA
ATF4	HPGD
