ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CSNK2B
CSNK2B	RXRA
SFPQ	NR3C1
NR3C1	RXRB
SFPQ	PPARG
PPARG	RXRG
AP2M1	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARD
AP2M1	BCR
BCR	TP53
ADRA1D	GOPC
GOPC	RELA
RELA	JUN
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
RELA	RXRA
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
NUP62	CTNNB1
CTNNB1	PPARD
DTNA	NMT1
NMT1	TP53
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
KCNH2	HSP90AA1
HSP90AA1	SP1
KCNH2	HSPA8
HSPA8	RELA
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
HSP90AA1	PPARD
HSPA8	TP53
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	UBE2I
UBE2I	RXRA
GNAI2	MDFI
MDFI	NR1H2
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RXRG
UCHL1	TP53
ADRA2B	UCHL1
UBE2I	JUN
CTNNB1	PPARG
PPARG	RXRB
GLI3	PTCH1
GLI3	HHIP
HIF1A	TGFB1
CREB1	BCL2
PPARA	ACOX1
PPARG	UCP1
POU2F1	ALDOC
USF1	APOC3
USF2	APOC3
JUN	F3
STAT5A	IFNG
POU2F1	IL4
POU2F2	IL4
JUN	TFPI2
NFIC	TFPI2
