ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	HSPA8
HSPA8	RELA
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
ADRA2B	UCHL1
UCHL1	TP53
TP53	RELA
ADRA2C	UCHL1
ADRB1	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ADRB2	STAT3
STAT3	SP1
STAT3	NFKB1
STAT3	RELA
ADRB3	SRC
SRC	STAT3
STAT4	SOCS3
STAT5A	SOCS2
STAT5B	CCND3
STAT6	CCND1
CEBPA	TWF2
CREM	ICAM1
