DRD1	RANBP9
RANBP9	UBE2I
UBE2I	ETS1
RANBP9	NR3C1
NR3C1	NFKB1
NR3C1	JUN
NR3C1	POU2F1
RANBP9	ESR1
ESR1	TP53
ESR1	RELA
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	ETS1
EP300	NFKB1
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
DRD5	GNA12
GNA12	APP
APP	HSPA8
HSPA8	POU2F1
GNA12	HSP90AA1
HSP90AA1	TP53
EP300	RELA
DRD2	FLNA
FLNA	REL
REL	EP300
REL	NFKB1
FLNA	RBM39
RBM39	JUN
FLNA	LMNA
LMNA	LMNB1
LMNB1	POU2F1
FLNA	RANBP2
RANBP2	TP53
REL	RELA
ADRA2A	UCHL1
UCHL1	UBE2I
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
UCHL1	HSPA8
UCHL1	TP53
GNAI2	NPM1
NPM1	RELA
HTR2A	CBL
CBL	GRB2
GRB2	EP300
CBL	HSPA4
HSPA4	NFKB1
CBL	SMAD3
SMAD3	JUN
CBL	HSPA8
CBL	YWHAZ
YWHAZ	TP53
HSPA8	RELA
NPAS2	PER2
CLOCK	RORC
RBPJ	FCER2
RXRB	CYP4A22
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RARA	AKR1B1
SP1	AKR1B1
USF1	CEACAM1
USF1	CTSB
SP3	CTSL
STAT1	TP53
FOS	TSHB
