HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	GRB2
GRB2	EP300
EP300	EGR1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
CDKN2A	EGR1
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
GIPC1	OGT
OGT	RELA
RELA	EGR1
DRD4	ARRB2
ARRB2	MAPK1
MAPK1	SP1
DRD4	GRB2
ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CLTC
CLTC	EP300
HTR1D	HTR1B
HTR1B	MDFI
MDFI	VHL
VHL	SP1
MDFI	KAT5
KAT5	EP300
ADRA2A	UCHL1
UCHL1	CTNNB1
UCHL1	TP53
TP53	EGR1
ADRA2B	UCHL1
ADRA2C	UCHL1
HTR2C	CALM1
CALM1	ESR1
ESR1	SP1
HTR2C	DLG4
DLG4	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
HTR1A	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	PSMA3
PSMA3	EGR1
DRD1	RANBP9
RANBP9	ESR1
ESR1	EP300
EGR1	CD9
SP1	CD9
