PDE4A	SQSTM1
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	MAPK1
MAPK1	CEBPB
SQSTM1	YWHAZ
YWHAZ	CTNNB1
CTNNB1	LEF1
SQSTM1	UBC
UBC	DAZAP2
DAZAP2	TCF7
SQSTM1	FUS
FUS	TCF7L2
CTNNB1	TCF7L1
MAPK1	JUN
MAPK1	PPARG
YWHAZ	NFATC4
NFATC4	CEBPA
PDE4B	MAGEA11
MAGEA11	EP300
EP300	CREB1
EP300	CEBPB
EP300	CTNNB1
EP300	PLSCR1
PLSCR1	DAZAP2
MAGEA11	AR
AR	TCF7L2
EP300	JUN
EP300	PPARG
MAGEA11	MTA1
MTA1	CEBPA
PDE4D	APP
APP	KAT5
KAT5	CREB1
APP	GSK3B
GSK3B	CEBPB
PDE4D	ARRB2
ARRB2	ALYREF
ALYREF	LEF1
APP	HGS
HGS	DAZAP2
APP	FBLN1
FBLN1	TCF7L2
PDE4D	MDM2
MDM2	CTNNB1
MDM2	JUN
APP	RFX5
RFX5	PPARG
APP	MAPK8
MAPK8	CEBPA
PDE4C	SRI
SRI	STAT3
STAT3	EP300
STAT3	SMAD1
SMAD1	LEF1
STAT3	MAP3K7
MAP3K7	DAZAP2
STAT3	PML
PML	TCF7L2
PML	CTNNB1
STAT3	JUN
PML	PPARG
STAT3	CDKN1A
CDKN1A	CEBPA
PGD	RPS6KA1
RPS6KA1	CREB1
RPS6KA1	ESR1
ESR1	CEBPB
PGD	TALDO1
TALDO1	CFDP1
CFDP1	RUVBL1
RUVBL1	LEF1
PGD	GNAI3
GNAI3	GNAI2
GNAI2	PLSCR1
PGD	SUMO3
SUMO3	PML
PGD	P4HB
P4HB	PTN
PTN	CTNNB1
PML	JUN
GNAI3	XPO1
XPO1	PPARG
GNAI3	YWHAQ
YWHAQ	CDKN1A
MYC	CDK4
RXRB	OLR1
CREB1	CD74
MAPK14	IL12A
MAPK14	IL23A
MYD88	IFNA4
MYD88	IFNA7
MYD88	IFNA14
NFYA	HLA-DOA
LEF1	JUN
JUN	F3
