ATF6B	BDNF
CREB3L4	CRH
NR3C2	ATP1A3
NR3C2	ATP1A4
NR3C2	ATP1B2
NR3C2	ATP1B3
CREB3L1	FOS
NFKB1	BCL2L1
RELA	BIRC7
GLI1	WNT5A
GLI1	WNT2B
GLI2	PTCH1
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI3	GLI1
TFDP2	CCNE2
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER2
ARNTL	CRY1
ARNTL	PER1
ARNTL	RORA
ARNTL	RORC
ARNTL	BHLHE41
MYC	CCND1
MAPK14	CXCL1
ELK1	BIRC2
ELK1	BIRC3
EGR3	FASLG
SMAD3	MYC
MAPK8	JUN
MAPK9	JUN
RELA	MMP9
RELA	TNF
CREBBP	FIGF
CREBBP	HK1
CREBBP	ANGPT4
CREBBP	PFKFB1
CREBBP	PGF
CREBBP	PGK1
EP300	FIGF
EP300	HK1
EP300	ANGPT4
EP300	PFKFB1
EP300	PGF
EP300	PGK1
HIF1A	FIGF
HIF1A	HK1
HIF1A	ANGPT4
HIF1A	PFKFB1
ARNT	CDKN1B
ARNT	EDN1
ARNT	EGF
ARNT	ENO1
ARNT	ENO2
ARNT	HMOX1
ARNT	LDHA
ARNT	PFKFB1
ARNT	PGK1
ARNT	SLC2A1
ARNT	VEGFB
YAP1	CTGF
YAP1	ID3
YAP1	ID4
YAP1	ITGB2
YAP1	AXIN2
YAP1	NKD1
YAP1	CCND2
WWTR1	AREG
WWTR1	SERPINE1
WWTR1	AREGB
SMAD3	CTGF
LEF1	BIRC2
LEF1	SNAI2
LEF1	SOX2
LEF1	AXIN1
LEF1	NKD1
TCF7	SNAI2
TCF7	SOX2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	CCND2
TEAD4	CTGF
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	BIRC5
TEAD3	CCND1
TP73	BBC3
TCF7L1	BIRC2
TEAD2	CTGF
TEAD2	GLI2
TEAD2	AXIN2
TEAD2	CCND2
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT3	CCND2
STAT3	SOCS5
STAT4	SOCS1
STAT5A	CCND2
STAT5A	CCND3
STAT5B	SOCS4
STAT5B	CCND1
STAT6	SOCS1
STAT6	CCND3
PAX6	GCK
HNF1A	HNF4G
MITF	DCT
MAPK3	CDK4
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	CXCL2
RELA	NFKBIA
RELA	CCL4L1
RELB	ICAM1
PIK3CA	AKT3
PIK3CA	PDPK1
PIK3CG	PDPK1
PIK3R3	PDPK1
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
NFKB1	PGF
NFKB1	VEGFB
NFKB1	VEGFC
STAT3	VEGFC
EPAS1	VEGFB
MAX	CKS1B
MYC	VEGFB
MYC	VEGFC
NFKB2	BCL2
NFKB2	TRAF5
PIAS2	CDKN2B
FOXO3	BCL2L11
FOXO3	CDKN1B
PPARA	APOA5
PPARA	DBI
PPARA	HMGCS2
PPARA	SCD5
PPARA	ACSBG2
PPARG	CPT1C
PPARG	ACSL1
PPARG	MMP1
RXRA	SLC27A4
RXRA	APOA5
RXRA	PLIN1
RXRB	ACSL4
RXRG	ADIPOQ
MAPK10	IL8
MYD88	IFNA10
MYD88	IFNA13
NFYA	LOC100509457
NFYA	HLA-DRB5
MAPK1	IL23A
MAPK11	IL23A
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
MAPK13	IL23A
MAPK13	TNF
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
RELA	IL23A
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFX5	CD74
RFXAP	LOC100507709
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
MAPK12	NOS2
ELK1	TWF2
NFIC	ADA
SP1	ADA
TFAP2A	ADRA1A
CREB1	ADRB2
NFIC	AFP
EGR1	AKR1B1
NFKB1	AKR1B1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ATF2	CCND1
CREB1	CCND1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CCND1
EGR1	CD9
SP1	CD9
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
E2F2	CDC45
ETS1	COX4I1
SP1	COX4I1
RARA	CRABP2
ETS1	DNTT
EGR1	EGFR
ESR1	EGFR
ESR2	EGFR
NFKB2	EGFR
PPARG	EGFR
REL	EGFR
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
ETS2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
