SCN2A	ANK3
ANK3	KCNC1
KCNC1	CAMK2A
CAMK2A	CREB1
ANK3	TIAM1
TIAM1	BTRC
BTRC	NFKB1
BTRC	RELA
TIAM1	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	EGR1
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	CEBPA
BTRC	SP1
TIAM1	RAC1
RAC1	PIAS3
PIAS3	SMAD3
RELA	PPARA
TIAM1	MAPK8IP1
MAPK8IP1	JUN
BTRC	ELAVL1
ELAVL1	NFIC
BTRC	TP53
NCOA3	ETS1
BTRC	EP300
EP300	FOS
NCOA3	RXRA
RAC1	SFPQ
SFPQ	NR3C1
NR3C1	RXRB
BTRC	NCOR2
NCOR2	RXRG
RAC1	HIST1H3A
HIST1H3A	CREBBP
CDKN2A	HIF1A
EP300	ARNT
BTRC	MYC
CAMK2A	ATF1
BTRC	SMAD4
PPP1R9B	PPP1CC
PPP1CC	ESR1
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
RBPJ	FCER2
CTNNB1	CCND3
ATF2	PCNA
EGR2	FASLG
IRF3	IFNB1
RELA	IL6
CREBBP	EDN1
CREBBP	ALDOA
CREBBP	ANGPT1
CREBBP	PFKL
EP300	EDN1
EP300	ALDOA
EP300	ANGPT1
EP300	PFKL
HIF1A	EDN1
HIF1A	ALDOA
HIF1A	ANGPT1
ARNT	PDK1
ARNT	PFKFB2
STAT5A	SOCS7
STAT6	SOCS4
CREB1	MITF
CREB3L2	MITF
RELA	TRAF2
PIK3CG	AKT3
PIK3R3	AKT3
STAT3	VEGFC
ETS1	CDK4
NFKB2	BCL2
IRF8	IL12B
PPARA	APOA5
PPARA	APOA2
PPARG	CPT1C
PPARG	PCK1
RXRA	UBC
RXRB	GK2
CREB1	HLA-DPB1
MYD88	IFNA10
NFYA	LOC100509457
MAPK8	NOS2
MAPK8	IL23A
MAPK12	IL23A
STAT1	NOS2
RFXANK	LOC100507709
RFXANK	LOC100509457
NFATC4	PTGS2
TCF7	JUN
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
SP3	DKC1
RELA	F3
NFKB1	F8
AR	F9
SP1	GH2
