CACNA1C	COPS5
COPS5	TP53
TP53	TFAP2A
TP53	CREB1
COPS5	JUN
COPS5	APP
APP	MYC
COPS5	TRIM28
TRIM28	MYB
CACNA1S	SRI
SRI	STAT3
STAT3	EP300
EP300	TFAP2A
EP300	CREB1
STAT3	JUN
STAT3	PML
PML	MYC
PML	MYB
CACNB1	APP
MYC	TFAP2A
APP	KAT5
KAT5	CREB1
APP	MAPK8
MAPK8	JUN
KAT5	MYB
CACNB3	CACNA1C
CACNB4	CBX3
CBX3	XRCC6
XRCC6	TP53
CBX3	DNMT3B
DNMT3B	CREB1
XRCC6	CREBBP
CREBBP	JUN
CBX3	PIM1
PIM1	MYC
CBX3	TRIM28
NR3C2	SUMO1
SUMO1	TP53
NR3C2	NR3C1
NR3C1	CREB1
NR3C1	JUN
NR3C2	PSMC5
PSMC5	MYC
SUMO1	MYB
AHR	EP300
EP300	JUN
EP300	MYC
EP300	MYB
NFYC	LOC101060835
SP1	GJA1
NFIC	GOT1
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
