CACNA1C	COPS5
COPS5	SMAD4
SMAD4	CEBPA
COPS5	NFKB1
COPS5	ESR1
ESR1	RELA
COPS5	NCOA1
NCOA1	PPARA
CACNA2D1	RAB11A
RAB11A	YWHAG
YWHAG	C1QBP
C1QBP	CEBPA
RAB11A	RCHY1
RCHY1	TP63
TP63	NFKB1
RCHY1	AR
AR	RELA
YWHAG	AKAP13
AKAP13	PPARA
CACNA1S	SRI
SRI	STAT3
STAT3	CDKN1A
CDKN1A	CEBPA
STAT3	NFKB1
STAT3	RELA
RELA	PPARA
CACNA1B	UBE2L3
UBE2L3	FOS
FOS	CEBPA
UBE2L3	NFKBIA
NFKBIA	NFKB1
UBE2L3	RELA
CA1	TFCP2
TFCP2	BAG6
BAG6	CDKN1A
TFCP2	HDAC1
HDAC1	NFKB1
TFCP2	HDAC2
HDAC2	RELA
TFCP2	SUMO1
SUMO1	UBE2I
UBE2I	PPARA
SMPD1	OS9
OS9	SNRPD2
SNRPD2	KAT5
KAT5	CEBPA
OS9	PPIB
PPIB	BANP
BANP	NFKB1
OS9	HIF1A
HIF1A	RELA
STAT4	CCND3
STAT5B	CCND2
USF1	CCND1
RARA	GADD45B
STAT4	IFNG
USF1	LIPC
