HTR2A	CBL
CBL	CTNNB1
CTNNB1	PPARG
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
CBL	HSPA4
HSPA4	NFKB1
CBL	MAPK8
MAPK8	PAX2
CBL	SMAD3
SMAD3	JUN
SMAD3	FOS
MAPK8	MYC
CBL	EGFR
EGFR	STAT1
CTNNB1	HIF1A
CBL	HSPA8
HSPA8	RELA
CBL	GRB2
GRB2	EP300
EP300	ETS1
EGFR	STAT3
DRD2	FLNA
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
FLNA	LMNA
LMNA	PML
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
FLNA	REL
REL	NFKB1
LMNA	RB1
RB1	PAX2
FLNA	RBM39
RBM39	JUN
PML	FOS
DRD2	EPB41L1
EPB41L1	APP
APP	MYC
DRD2	PAWR
PAWR	STAT1
EPB41L1	COPS5
COPS5	HIF1A
REL	RELA
REL	EP300
STAT1	STAT3
CREBBP	TIMP1
EP300	PFKFB1
VDR	TRPV6
NFKB1	IL1B
NFKB1	GADD45B
NFKB1	PLAU
NFKB1	BCL2A1
NFKB1	TRAF1
NFKB1	VCAM1
NFKB2	TNFSF13B
RELA	BCL2A1
RELB	ICAM1
RELB	CCL21
PIK3CA	AKT3
PIK3CD	AKT1
PIK3CG	PDPK1
PIK3R2	AKT2
PIK3R3	PDPK1
MYC	CKS2
MYC	MMP1
NFKB2	BIRC8
RELA	TRAF3
RELA	TRAF4
CREB3L2	MCL1
PPARA	ACSBG1
PPARA	ACAA1
PPARD	ACOX1
PPARG	GK2
PPARG	LPL
RXRA	FABP4
CREB5	AQP2
NFAT5	PTGS2
ETS1	MMP3
ETV4	MMP3
FLI1	MMP3
FOS	MMP3
NFKB1	MMP3
RELA	MMP3
ETV4	MMP9
MYB	MYC
PGR	MYC
