CA1	TFCP2
TFCP2	SUMO1
SUMO1	TP53
TP53	ETS2
TFCP2	HDAC1
HDAC1	CREB1
SUMO1	BLM
BLM	ELK4
SUMO1	PML
PML	SRF
TFCP2	EAF1
EAF1	TOP1
TOP1	ELK3
TFCP2	BAG6
BAG6	CDKN1A
CDKN1A	CEBPA
SUMO1	UBE2I
UBE2I	ELK1
TFCP2	HDAC2
HDAC2	RARA
HDAC2	ESR1
HDAC1	NFKB1
HDAC2	SP1
NR3C2	ATP1A3
GLI3	PTCH1
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT4	SOCS3
MITF	TYRP1
MYD88	IFNA7
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA17
NFYA	HLA-DOB
RFXAP	HLA-DOB
TCF7	JUN
TFAP2A	ADRA1A
CREB1	ADRB2
CEBPB	AFP
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
SMAD3	ANKRD1
NFKB1	GADD45A
CEBPA	ICAM1
CREB1	ICAM1
CREM	ICAM1
E2F4	POLA
JUN	TFPI2
