SCN2A	ANK3
ANK3	TIAM1
TIAM1	BTRC
BTRC	SP1
TIAM1	MAPK8IP1
MAPK8IP1	JUN
BTRC	NFKB1
TIAM1	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	EGR1
BTRC	ELAVL1
ELAVL1	NFIC
TIAM1	RAC1
RAC1	LMNB1
LMNB1	POU2F1
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	ETS1
BTRC	EP300
EP300	JUND
BTRC	CTNNB1
CTNNB1	LEF1
RAC1	TOLLIP
TOLLIP	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
BTRC	RELA
RAC1	STAT3
STAT3	MAPK1
RAC1	IQGAP1
IQGAP1	MAPK3
NCOA3	ETS2
BTRC	MAPK14
STAT3	PML
PML	MAPK11
TIAM1	MAPK8IP2
MAPK8IP2	MAPK13
RXRB	ACOX3
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
FOS	IL12B
IRF7	IFNA4
IRF7	IFNA14
MAPK14	IL1B
MAPK14	IL18
MYD88	IFNA1
MYD88	IFNA6
NFYC	HLA-DQA2
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C2
POU2F1	AKR1C3
ATF4	ASNS
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
