PCCB	LYPLA1
STAT3	MAPK1
HMGCL	DNAJA1
DNAJA1	IQGAP1
IQGAP1	MAPK3
HMGCL	LSM12
LSM12	GLC7
GLC7	PDX1
PDX1	MAPK14
HMGCL	ARL6IP1
ARL6IP1	SNX11
SNX11	PML
RNF126	EGFR
EGFR	MAPK8IP2
RNF126	CDKN1A
CDKN1A	MAPK8
EGFR	MAPK9
CDKN1A	TP53
TP53	MAPK10
CDKN1A	HDAC6
HDAC6	MYD88
CDKN1A	JUN
LSM12	THP2
THP2	TOP1
TOP1	IRF8
ARL6IP1	DIABLO
DIABLO	BIRC3
BIRC3	IRF1
HES1	RUNX2
RUNX2	FOS
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	IRF5
INPP5K	TANK
TANK	IRF7
DNAJA1	HSPA8
HSPA8	POU2F1
EGFR	STAT1
NCOR2	PPARG
NCOR2	RXRA
LSM12	HSP82
HSP82	NR3C1
NR3C1	RXRB
NCOR2	RXRG
ARL6IP1	FBXW7
FBXW7	CDK2
CDK2	SMAD2
HES1	SIRT1
SIRT1	CREB1
ARL6IP1	SENP2
SENP2	DAXX
DAXX	ETS1
ARL6IP1	GORASP2
GORASP2	NONO
NONO	SPI1
STAT3	SP1
RNF126	SKP2
SKP2	FOXO3
FBXW7	MYC
MYC	TFAP2A
ARL6IP1	GOLPH3
GOLPH3	PFDN5
PFDN5	EGR1
HMGCL	TOMM40
TOMM40	PARK2
PARK2	MEOX2
RUNX2	SMAD3
SKP2	SMAD4
LSM12	PBP1
PBP1	FHL1
FHL1	STAT4
STAT3	HIF1A
HES1	HSP90AA1
HSP90AA1	IRF3
DNAJA1	PRKCSH
PRKCSH	VDR
NR3C1	POU2F2
HSP90AA1	PPARA
PC	KPNA4
KPNA4	CUL4B
CUL4B	NFKB1
KPNA4	TP53
TP53	RELA
TP53	MAPK1
TP53	MAPK3
TP53	MAPK14
KPNA4	DAXX
DAXX	PML
KPNA4	APP
TP53	MAPK9
PC	RPS3A
RPS3A	DDIT3
DDIT3	JUN
RELA	IRF8
PC	CAD
CAD	SMARCA4
PC	MDH2
MDH2	UBE2L3
UBE2L3	FOS
DAXX	CREBBP
CREBBP	IRF5
TP53	IRF7
PC	COPB1
COPB1	XRCC6
XRCC6	POU2F1
PC	FASN
FASN	AHSA1
AHSA1	STAT1
XRCC6	PPARG
GSK3B	RXRA
TP53	NR4A1
NR4A1	RXRG
TP53	SMAD2
DAXX	CREB1
COPB1	ARF1
ARF1	SPI1
TP53	SP1
APP	MYC
MYC	FOXO3
TP53	TFAP2A
PC	PFAS
PFAS	CAPN1
CAPN1	STAT3
TP53	EGR1
TP53	SMAD3
SMAD3	MEOX2
DAXX	SMAD4
TP53	TRIM28
TP53	HIF1A
COPB1	TANK
TANK	IRF3
TP53	VDR
RPS3A	HSP90AA1
PCCA	PCCB
ACACA	BRCA1
BRCA1	EP300
EP300	NFKB1
BRCA1	RELA
BRCA1	MAPK1
BRCA1	MAPK3
EP300	MAPK14
EP300	HDAC3
HDAC3	MAPK11
BRCA1	VCP
BRCA1	CTNNB1
CTNNB1	MAPK8
CTNNB1	MAPK9
BRCA1	TP53
ACACA	PSMD2
PSMD2	MDM2
MDM2	MYD88
BRCA1	JUN
EP300	IRF1
EP300	FOS
BRCA1	SMAD3
BRCA1	POU2F1
BRCA1	STAT1
EP300	PPARG
EP300	RXRA
EP300	NR3C1
BRCA1	RPAP2
RPAP2	RXRG
EP300	SMAD2
BRCA1	CREB1
BRCA1	ETS1
BRCA1	RB1
RB1	SPI1
BRCA1	SP1
EP300	FOXO3
BRCA1	TFAP2A
EP300	STAT3
EP300	SMAD4
JUN	STAT4
BRCA1	HIF1A
EP300	IRF3
EP300	VDR
BRCA1	XRCC6
BRCA1	UBE2I
UBE2I	PPARA
MAPK11	IL8
RBPJL	FCER2
CREBBP	PGF
TEAD1	CTGF
TEAD1	CCND1
TEAD4	SOX2
TEAD4	CCND2
TEAD3	BIRC2
TEAD3	SOX2
SOS1	CCND1
SOS1	BCL2L1
SOS1	SPRY4
STAT4	SOCS7
STAT4	PIM1
TP53	RFWD2
TP53	ZMAT3
TP53	SIAH1
TP53	THBS1
TP53	TP53I3
EPAS1	TGFA
FOS	MMP2
MAX	CKS2
MYC	MMP1
NFKB2	BIRC8
NFKB2	TRAF4
RELA	TRAF4
CREB3L2	MCL1
PPARA	ACSL1
PPARA	ACAA1
PPARD	ACOX1
PPARG	ACSBG1
PPARG	LPL
RXRA	FABP4
RXRA	AQP7
RXRA	SLC27A1
RXRA	LPL
RXRA	SCD
RXRA	SCP2
RXRA	SCD5
RXRA	CD36
RXRB	APOA5
RXRB	CPT1C
RXRB	CPT1B
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	EHHADH
RXRB	ACSL6
RXRB	GK
RXRB	ACAA1
RXRB	HMGCS2
RXRB	ACADL
RXRB	APOA1
RXRB	APOA2
RXRB	SLC27A1
RXRB	SCD
RXRB	ACSBG2
RXRB	ACOX2
RXRB	FADS2
RXRB	CD36
RXRG	NR1H3
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1B
RXRG	ACSL1
RXRG	CD36
EGR1	CCL5
MAPK3	IL8
MAPK8	IL8
MAX	CDK6
MAX	CCND1
EP300	CDKN2B
SMAD2	PITX2
SMAD5	ID2
SMAD5	ID3
SMAD9	ID2
SMAD9	ID3
FOS	IL6
FOS	IL12A
FOS	CCL3L3
FOS	CCL3
FOS	TNF
FOS	CCL4L1
IRF3	CXCL11
IRF3	CD80
IRF5	IL6
IRF5	IL8
IRF5	CCL3L3
IRF5	CCL3
IRF7	IFNA1
IRF7	IFNA2
IRF7	IFNA6
IRF7	IFNA7
IRF7	IFNA16
STAT1	CXCL10
MYB	CDK1
NFKB1	B2M
E2F3	CDC45
E2F4	CDC6
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
USF1	CEACAM1
USF2	CEACAM1
SP3	DKC1
NFIC	GOT1
CEBPA	GPX4
TFAP2A	GPX4
JUN	MAT2A
NFKB1	MAT2A
SP2	MAT2A
SP1	MAT2B
NFIC	MBP
WT1	MYB
E2F4	MYC
MYC	MYC
