ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
EP300	EGR1
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
AP2M1	HSPA8
HSPA8	POU2F1
HSPA8	RELA
AP2M1	APC
APC	CREBBP
EP300	HIF1A
EP300	ARNT
EP300	CREB1
EP300	ETS1
EP300	FOS
AP2M1	BCR
BCR	TP53
EP300	STAT1
ADRA1D	GOPC
GOPC	RELA
RELA	JUN
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
RELA	NFKB1
RELA	EGR1
GOPC	TGFBR2
TGFBR2	HSP90AA1
RELA	POU2F1
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
DTNA	ACTB
ACTB	EP300
RELA	HIF1A
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
RELA	FOS
DTNA	NMT1
NMT1	TP53
GOPC	KPNA1
KPNA1	STAT1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
KCNH2	HSP90AA1
HSP90AA1	SP1
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	HSPA8
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	HIF1A
HSP90AA1	ARNT
ABL1	CREB1
HSPA8	TP53
TP53	ETS1
ABL1	FOS
YWHAE	XPO1
XPO1	STAT1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
UCHL1	COPS5
COPS5	NFKB1
UCHL1	TP53
TP53	EGR1
UCHL1	HSP90AA1
UCHL1	HSPA8
GNAI2	NPM1
NPM1	RELA
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
TP53	CREB1
UCHL1	UBE2I
UBE2I	ETS1
UBE2I	FOS
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT1
ADRA2B	UCHL1
UBE2I	JUN
TP53	RELA
UBE2I	STAT1
GLI3	WNT5A
CREB3L4	IL8
CREBBP	ENO3
EP300	ENO3
HIF1A	ENO3
STAT5A	SOCS7
STAT6	SOCS4
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
RBPJL	HES1
TP53	PIDD
RXRA	UBC
RXRB	GK2
STAT1	CXCL9
USF1	APOC3
USF2	APOC3
STAT1	EGFR
CREB1	ERBB2
TFAP2A	ERBB2
NFKB1	GADD45A
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
RARA	MIF
RARG	MIF
CEBPA	MMP11
ETS1	TFRC
