HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	CTNNB1
CTNNB1	CREBBP
CBL	GRB2
GRB2	EP300
CTNNB1	LEF1
CBL	ABL1
ABL1	CREB1
CBL	SMAD3
SMAD3	JUN
CBL	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CTNNB1	ESR1
CTNNB1	HIF1A
DRD2	FLNA
FLNA	RANBP2
RANBP2	TP53
FLNA	REL
REL	CREBBP
REL	EP300
FLNA	LMNA
LMNA	CTNNB1
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
FLNA	RBM39
RBM39	JUN
REL	ATXN1
ATXN1	DAZAP2
DRD2	CALM1
CALM1	AR
AR	TCF7L2
CALM1	ESR1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
DRD3	EPB41L1
COPS5	TP53
DRD3	GIPC1
GIPC1	MCM7
MCM7	HIF1A
HIF1A	CREBBP
DRD3	RDX
RDX	CTTN
CTTN	EP300
GIPC1	ACTN1
ACTN1	PIAS4
PIAS4	LEF1
MCM7	FHL2
FHL2	CREB1
COPS5	JUN
DRD3	USP48
USP48	UBC
EPB41L1	APP
APP	FBLN1
FBLN1	TCF7L2
COPS5	CTNNB1
GIPC1	MMS19
MMS19	ESR1
DRD4	STUB1
STUB1	TP53
DRD4	ARRB2
ARRB2	CSK
CSK	CREBBP
DRD4	GRB2
ARRB2	ALYREF
ALYREF	LEF1
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	HGS
HGS	DAZAP2
GRB2	FUS
FUS	TCF7L2
DAZAP2	TCF7L1
STUB1	ESR1
STUB1	HIF1A
ADRA1B	AP2M1
AP2M1	BCR
BCR	TP53
AP2M1	APC
APC	CREBBP
AP2M1	CLTC
CLTC	EP300
AP2M1	EEF1A1
EEF1A1	RUVBL1
RUVBL1	LEF1
EP300	CREB1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	UBC
EEF1A1	FUS
AP2M1	CHD8
CHD8	CTNNB1
AP2M1	HSPA8
HSPA8	ESR1
EP300	HIF1A
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	TP53
MDFI	MYOD1
MYOD1	CREBBP
KAT5	EP300
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	LEF1
KAT5	CREB1
MDFI	PIN1
PIN1	JUN
WWP2	UBC
WWP2	SMAD7
SMAD7	TCF7L2
S1PR1	TRIP6
TRIP6	PYGO2
PYGO2	CTNNB1
KAT5	ESR1
MDFI	VHL
VHL	HIF1A
ADRA2A	UCHL1
UCHL1	TP53
UCHL1	CTNNB1
CTNNB1	EP300
TP53	CREB1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
GNAI2	PLSCR1
PLSCR1	DAZAP2
ADRA2A	GNB1
GNB1	PAK1
PAK1	ESR1
ADRA2B	UCHL1
UCHL1	UBE2I
UBE2I	JUN
UCHL1	UBC
ADRA2C	UCHL1
HTR2C	DLG4
DLG4	ERBB4
ERBB4	TP53
HTR2C	CALM1
ESR1	CREBBP
DLG4	MDM2
MDM2	EP300
DLG4	HGS
DAZAP2	LEF1
CALM1	AKT1
MDM2	JUN
MDM2	HIF1A
HTR1A	S1PR1
TRIP6	PTK2
PTK2	TP53
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
HTR1A	HTR1D
TRIP6	CREB5
CREB5	JUN
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	ESR1
SMAD3	HIF1A
DRD1	RANBP9
RANBP9	ESR1
ESR1	TP53
ESR1	EP300
ESR1	SMAD2
SMAD2	LEF1
RANBP9	NR3C1
NR3C1	CREB1
NR3C1	JUN
RANBP9	APP
APP	HGS
RANBP9	UBE2I
UBE2I	TCF7L2
RANBP9	AR
AR	CTNNB1
ESR1	HIF1A
NFATC4	TNF
CREBBP	NOS2
EP300	NOS2
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
CREB1	MITF
MITF	DCT
NFYC	LOC100509457
JUN	IVL
JUNB	IVL
