GLI2	WNT2B
GLI3	WNT16
GLI3	PTCH1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
TCF7	BIRC5
MAPK14	CXCL1
CTNNB1	CCND2
ELK1	BIRC3
NFKB1	TNF
MAPK10	SMAD4
RELA	TNF
CREBBP	SERPINE1
CREBBP	PFKFB4
CREBBP	PGK1
EP300	SERPINE1
EP300	PFKFB4
EP300	PGK1
HIF1A	SERPINE1
ARNT	CDKN1A
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TEAD1	GLI2
TEAD1	SOX2
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
MAPK1	CDK4
PIK3R1	AKT1
PIK3R2	AKT3
RXRA	ACSBG2
RXRB	ACADM
MYD88	IFNA13
NFYA	HLA-DOA
NFYC	LOC100509457
NFYC	LOC101060835
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
MAPK12	IL1A
MAPK12	IL1B
LEF1	PPARD
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
SMAD1	ANKRD1
RARB	CRABP2
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
ESR2	JUN
ETS2	JUN
JUN	JUN
POU2F2	SPP1
JUN	TFF1
JUN	TFPI2
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
NFIC	VWF
