CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	TP53
MAPK8	JUN
PRKCE	ARAF
ARAF	MAPK1
MAPK1	ETS1
MAPK8	SMAD3
SMAD3	SP1
MAPK1	SMAD2
MAPK8	SMAD4
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	HIF1A
PIK3R5	MTOR
MTOR	PPARG
PRKCE	PPP1CA
PPP1CA	CREB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
MAPK1	ESR1
MAPK8	ELK1
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
CTNNB1	CCND2
MAPK10	SMAD4
CREBBP	PFKFB4
EP300	PFKFB4
MYC	MMP1
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DRB3
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
TFAP2A	GH2
USF1	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
USF2	PTGS2
POU2F1	SFTPA1
CREM	TH
SMAD3	TNNC1
