HTR1A	GNAI1
GNAI1	MAPK1
MAPK1	STAT3
GNAI1	MAPK14
MAPK14	CEBPB
GNAI1	PIK3R5
PIK3R5	AKT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	NFKB1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
MAPK1	RELA
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
MAPK1	MYC
MAPK1	ETS1
GNAI1	HRAS
HRAS	JUN
PIK3R5	MTOR
MTOR	PPARG
ELK1	CCND1
EGR2	FASLG
MAPK9	JUN
CREB3L2	PCNA
CREBBP	ALDOA
CREBBP	PFKFB1
CREBBP	SLC2A1
EP300	ALDOA
EP300	PFKFB1
EP300	SLC2A1
HIF1A	ALDOA
HIF1A	PFKFB1
STAT4	SOCS3
STAT5A	CCND2
STAT5B	CCND3
CREB3L2	MITF
NFKB1	IL1B
NFKB1	PLAU
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CG	PDPK1
PIK3R3	PDPK1
EPAS1	TGFA
FOS	VEGFB
MAX	CKS2
NFKB2	TRAF4
CREB3L1	MCL1
PPARA	ACSL1
PPARD	UCP1
PPARG	ACSBG1
RXRA	ACSL3
NFYA	HLA-DPB1
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
SP1	CAV1
USF2	CEACAM6
ATF1	CGA
ATF2	CGA
MYC	CSTB
RELA	CTSB
USF2	PTPN6
RARB	S100A9
SP1	SERPINE1
SP1	SOD1
SP1	TAF7
PAX8	TG
USF1	THBS1
CEBPA	TK1
JUN	TNNC1
E2F4	TOP1
SP1	TPI1
ERG	VIM
