ADORA1	GNAI1
GNAI1	MAPK14
MAPK14	CEBPB
GNAI1	MAPK1
MAPK1	STAT3
GNAI1	PIK3R5
PIK3R5	AKT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
ADORA2A	GNAQ
GNAQ	HRAS
HRAS	MAPK14
ADORA2A	GNAS
GNAS	SRC
SRC	STAT3
HRAS	MAP3K1
MAP3K1	IKBKG
PDE4B	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK14
ADCY1	PRKACA
PRKACA	MAPK1
PRKACA	NFKB1
NFKB1	TRAF3
TRAF3	TBK1
RYR1	CALML6
CALML6	HRAS
RYR1	PRKCA
PRKCA	MAPK1
PRKCA	MAP3K1
PDE1A	ADCY1
PDE1B	ADCY1
PDE1C	ADCY1
PDE10A	ADCY1
PDE4A	ADCY1
PDE4C	ADCY1
PDE4D	ADCY1
PDE7B	ADCY1
PDE2A	ADCY1
PDE3A	ADCY1
PDE3B	PRKACA
NFKB1	CEBPB
PDE5A	HPRT1
HPRT1	PDE3B
PDE6C	HPRT1
PDE11A	ADCY1
PDE7A	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PDE9A	HPRT1
PDE6A	HPRT1
PDE6B	HPRT1
PRKDC	TP53
TP53	THBS1
THBS1	PTK2
PTK2	MAPK14
THBS1	ITGB1
ITGB1	SRC
TP53	FAS
FAS	CASP8
CASP8	IKBKG
PIK3CD	AKT3
AKT3	NFKB1
PIK3CD	HRAS
HRAS	MAPK1
PIK3CA	AKT3
PIK3CA	HRAS
PIK3CB	AKT3
PIK3CB	HRAS
ITPR1	CALML6
ITPR1	CAMK2A
CAMK2A	MAPK1
ITPR1	PRKCA
ITPR2	CALML6
ITPR2	CAMK2A
ITPR2	PRKCA
ITPR3	CALML6
ITPR3	CAMK2A
ITPR3	PRKCA
ATM	TP53
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
