CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
NFKB1	NFKB2
RAF1	RELA
PRKCA	MAPK1
MAPK1	ELK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	SMAD2
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PRKCA	CREB1
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	RAF1
PRKCE	MAPK8
MAPK8	ELK1
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKCE	PPP1CA
PPP1CA	YAP1
PPP1CA	CREB1
ATF6B	ARC
ATF6B	FOS
ATF4	ARC
ATF4	FOS
JUN	RELA
FOS	CCND1
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
BBC3	TP53
TP53	SESN3
ESR1	FOS
TP53	IL8
ATF2	INS
CEBPA	ITGA2
SP1	ITGA2
CREM	PLAT
JUN	PLAT
