HPRT1	PDE3B
PDE3B	PRKACA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	STAT3
CREBBP	STAT5A
CREBBP	STAT5B
MAPK1	JUN
CREBBP	SP1
NFKB1	TP53
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
CREB3L1	ARC
CREB5	PDYN
NFKB1	BIRC7
RELA	BCL2L1
GLI1	HHIP
GLI1	WNT6
GLI1	WNT11
GLI1	WNT5B
GLI2	HHIP
MAPK11	CXCL1
NFAT5	TNF
CREB3L4	IL8
FOS	MMP9
CREB5	IL8
CREBBP	ENO3
CREBBP	GAPDH
CREBBP	VEGFC
EP300	ENO3
EP300	GAPDH
EP300	VEGFC
HIF1A	ENO3
HIF1A	GAPDH
EP300	MITF
CREB3L1	MITF
PIK3CG	AKT3
RBPJL	HES1
MYB	TSC22D3
MYBL1	TSC22D3
SP3	CCND1
TP53	CCND1
USF1	CCND1
E2F4	CDC45
E2F4	HSP90B1
TFAP2A	HSPA1A
ESR1	HSPB1
ATF1	JUN
ESR1	JUN
SMAD4	JUN
TFAP2A	KRT14
SP3	LCAT
SP3	LHB
POU2F1	LPL
NFKB1	MAT2A
JUN	MGP
ETS1	PPP2R4
TP53	RELA
RARG	S100A8
NFKB1	SAA2
SP1	SPN
SP1	SPP1
CREB1	TF
JUN	TIMP1
TFAP2A	TIMP1
CEBPB	TNF
JUN	TP53
USF1	TP53
FOS	TSHB
