CYP19A1	CYP3A4
CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	RAF1
RAF1	NFKB1
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
PRKCA	HRAS
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	MTOR
MTOR	HIF1A
HRAS	JUN
MTOR	PPARG
MAPK1	ETS1
ETS1	SPI1
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
SMAD2	E2F4
MAPK1	ELK1
ELK1	EGR1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
TP53	GADD45G
MAPK1	CCND1
PIK3CB	AKT2
MAX	CKS1B
NFKB2	TRAF5
PPARA	DBI
PPARG	ACSL1
MAPK12	IL1A
CREB3L2	AQP2
CREB3L3	AQP2
SP3	ABCA1
SP1	ADA
TP53	CAV1
POU2F1	CCND1
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
USF2	CEACAM6
ATF1	CGA
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
CREB1	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC2
BCL3	NFKB2
