CYP2B6	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
MAPK1	SMAD4
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
ETS1	SPI1
MAPK1	SMAD3
PRKCA	CREB1
CREB1	PER1
PER1	ARNTL
PER1	NPAS2
PER1	CLOCK
PRKCA	HRAS
HRAS	JUN
PRKCA	MTOR
MTOR	AKT3
AKT3	IRF3
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
GLI3	WNT7B
GLI3	WNT11
GLI3	PTCH2
NR1H4	SLC51A
E2F2	CCNE1
SMAD2	CDKN1A
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
ELK1	BIRC2
RELA	MMP9
LEF1	MITF
PIK3CD	PDPK1
RXRA	ACSBG2
RXRA	CD36
RXRB	ME1
NFYA	LOC100507714
NFYA	HLA-DOA
MAPK11	IL12B
MAPK11	NOS2
MYB	TSC22D3
MYBL1	TSC22D3
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
USF1	HMOX1
USF2	HMOX1
BCL3	MYB
ETV4	MYB
CEBPE	MYC
MYBL2	MYC
SP1	MYC
SP3	MYCN
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
ESR1	PTMA
ETS1	SLC26A3
