AGTR1	GNAQ
GNAQ	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	RAF1
RAF1	NFKB1
MAPK1	ETS1
MAPK1	TP53
JUN	MAPK8
MAPK8	SMAD3
SMAD3	SP1
JUN	NFKB1
NFKB1	HIF1A
HIF1A	CREBBP
HIF1A	EP300
MAPK8	ELK1
ELK1	ETS1
NFKB1	TP53
TFDP2	CCNE2
ELK1	CCND1
JUN	CCND2
ATF6B	PCNA
CREB3L2	PCNA
CREB3L3	IL8
CREBBP	ENO2
CREBBP	SLC2A1
CREBBP	TFRC
EP300	ENO2
EP300	SLC2A1
EP300	TFRC
HIF1A	ENO2
STAT5A	MYC
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYC	HLA-DMB
NFYC	HLA-DOA
SP1	CAV1
SP3	CCND1
TP53	CCND1
USF1	CCND1
SP3	CDKN1A
NFKB1	CYP11A1
SP1	CYP11A1
SP3	CYP17A1
SPI1	NFKB1
USF2	PTPN6
MYBL2	RBL1
RARB	S100A8
SP1	SOD1
MYBL2	SP1
POU2F2	SPP1
USF1	THBS1
CREB1	TIMP1
STAT3	TIMP1
E2F4	TOP1
MYC	TP53
TP53	TP53
