HTR4	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKACA	PPARA
GNAS	SRC
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	CREB1
GNAS	GNB5
GNB5	MAPK1
MAPK1	ELK1
ELK1	EGR1
HTR2A	GNAQ
GNAQ	HRAS
HRAS	PLCE1
PLCE1	PRKACA
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
HTR2A	CACNA1C
CACNA1C	INS
INS	NR1H3
NR1H3	RXRA
HRAS	PIK3R5
HRAS	MAPK1
MAPK1	CREB1
CREB3L1	ARC
CREB5	PDYN
NFKB1	XIAP
RELA	BCL2L1
GLI1	HHIP
GLI1	WNT2
GLI1	WNT11
GLI1	WNT5B
GLI2	WNT16
ETS1	FIGF
FOS	MMP1
IRF1	IL12B
RELA	MYB
PPARA	APOC3
PPARD	LPL
PPARG	ANGPTL4
RXRA	EHHADH
MYD88	IFNA10
NFYC	HLA-DQB1
MAPK9	IL12A
CREB5	AQP2
ETV4	ERBB2
ATF1	JUN
ESR1	JUN
NFIC	JUN
TFAP2A	KRT14
SP3	LCAT
SP1	LDHA
POU2F1	LPL
NFKB1	MAT2A
SP3	MAT2B
