HPRT1	PDE3B
PDE3B	PRKACA
PRKACA	NFKB1
NFKB1	CCND1
CCND1	RB1
RB1	TFDP2
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
PRKACA	MAPK1
MAPK1	SMAD2
SMAD2	TFDP1
PRKACA	CREBBP
CREBBP	SP1
MAPK1	ELK1
ELK1	EGR1
PRKACA	RELA
NFKB1	CEBPB
MAPK1	JUN
CEBPA	E2F2
CEBPA	E2F3
MAPK1	ETS1
PRKACA	CREB1
MAPK1	FOS
NFKB1	PPP2CA
PPP2CA	YAP1
PPP2CA	WWTR1
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
ATF6B	FOS
ATF4	FOS
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI2	PTCH2
GLI3	GLI1
TP53	GADD45G
ATF6B	IL8
CREB3L4	IL8
CREBBP	ENO1
CREBBP	ENO3
EP300	ENO1
EP300	ENO3
HIF1A	ENO1
HIF1A	ENO3
HIF1A	BCL2
ARNT	GAPDH
RBPJL	HES1
TP53	PIDD
NFYA	LOC100507709
NFYB	HLA-DQB1
NFYB	HLA-DRA
RFX5	HLA-DOA
RFX5	HLA-DOB
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
PPARG	SAT1
USF1	CCNB1
USF2	CCNB1
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ATF2	INS
SP1	ITGA2
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
JUN	MMP3
RELA	MMP3
BCL3	NFKB2
RARA	S100A8
RARG	S100A8
POU2F1	SPP1
SP1	SPP1
STAT1	TIMP1
TFAP2A	TIMP1
STAT1	TP53
USF1	TP53
POU2F1	VWF
