SLC12A2	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	SMAD3
PRKACA	NFKB1
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	SMAD4
PPP2CA	WWTR1
MAPK1	SMAD2
NFKB1	TP53
MAPK1	MYC
MAPK1	JUN
MAPK1	ELK1
ELK1	EGR1
NFKB1	HIF1A
MAPK1	FOS
PRKACA	CREB1
MAPK1	STAT1
PRKACA	RELA
MAPK1	ESR1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
MAPK1	ETS2
STAT5B	BCL2L1
MAPK14	CXCL1
HIF1A	PGK1
ARNT	EDN1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	ID3
YAP1	SNAI2
YAP1	AXIN2
WWTR1	BBC3
WWTR1	AREG
TEAD1	GLI2
STAT4	CCND3
STAT5B	CCND2
MAPK1	CCND1
EPAS1	SLC2A1
NFKB2	TRAF6
CREB1	BCL2
PPARA	EHHADH
PPARA	ACOX1
PPARG	ACSL3
PPARG	UCP1
RXRA	ACADM
MYD88	IFNA13
MYD88	IFNA16
RFXAP	HLA-DOA
CEBPA	ABCB1
CEBPB	ABCB1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM5
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
USF1	CTSB
JUN	F3
JUND	F3
NFKB1	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
TP53	NME1
TFAP2A	POLD2
NFKB1	VWF
