KCNMA1	CACNA1C
CACNA1C	INS
INS	NR1H3
NR1H3	RXRA
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	RXRB
CREBBP	RXRG
INS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
CALML6	HRAS
HRAS	JUN
CAMK2A	EP300
PIK3R5	HIF1A
CREBBP	ARNT
INS	MAPK1
MAPK1	MYC
MAPK1	ETS1
HRAS	FOS
CALML6	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
MAPK1	NFKB1
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
HRAS	MAPK14
MAPK14	MAX
RXRA	RARB
NFKB1	BCL2
NFKB1	BIRC7
GLI1	WNT3
GLI1	WNT6
GLI2	WNT4
GLI2	HHIP
ELK1	BIRC2
ATF2	PCNA
MAPK8	SMAD4
RELA	MMP9
CREBBP	EDN1
CREBBP	PDK1
CREBBP	PGF
EP300	EDN1
EP300	PDK1
EP300	PGF
HIF1A	EDN1
HIF1A	PDK1
NFKB1	CXCL2
RELA	PTGS2
RELB	TNFSF13B
RELB	CCL19
PIK3R5	PDPK1
PIK3CD	AKT3
PIK3CG	AKT2
PIK3R1	PDPK1
PIK3R3	AKT2
ETS1	VEGFA
MYC	VEGFA
NFKB1	NOS2
CREB3L4	MCL1
FOXO3	G6PC
PPARA	SCP2
PPARA	ACOX2
RXRA	NR1H3
RXRA	CPT1C
RXRA	ACADL
RFX5	HLA-DQA1
RFX5	HLA-DQA2
CEBPB	CSRP1
RARB	JUN
SMAD4	JUN
CREM	LDHC
SP3	LHB
NFIC	MBP
JUN	MGP
ESR1	PTMA
RELA	S100A6
PPARG	SERPINE1
ETS1	SLC26A3
JUN	SPP1
CREB1	TG
HOXA5	TH
SMAD4	TIMP1
FLI1	TNNC1
SP3	TNNC1
PAX5	TP53
TFAP2A	VHL
