DRD2	GNAI1
GNAI1	MAPK1
MAPK1	MYC
MAPK1	TP53
MAPK1	NFKB1
MAPK1	RELA
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PIK3R5	EGFR
EGFR	SOS1
EGFR	SOS2
PIK3R5	MTOR
MTOR	PPARG
ADRA1A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
PRKAG2	MTOR
MTOR	AKT3
AKT3	NFKB1
AKT3	RELA
PPARG	RXRA
PPARG	RXRB
PPARG	RXRG
GNAQ	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
CALM1	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
CALM1	CAMK2A
CAMK2A	CREBBP
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CALM1	KRAS
HRAS	PIK3R5
CALM2	HRAS
CALM2	CAMK2A
CALM2	KRAS
CALM3	HRAS
CALM3	CAMK2A
CALM3	KRAS
TNNC1	PLCD3
PLCD3	PIK3R5
PIK3R5	GSK3B
GSK3B	MYC
PLCD3	PRKCA
PRKCA	MAPK1
PIK3R5	AKT3
ATF6B	ARC
ATF4	ARC
HIF1A	PFKFB4
HIF1A	PFKL
LEF1	CCND3
TCF7	BIRC2
TCF7L2	BIRC2
TCF7L2	SNAI2
STAT4	CCND1
STAT5B	MYC
MYC	CKS1B
MYC	VEGFC
RELA	CCND1
CREB1	BCL2
FOXO3	CDKN1B
PPARA	ACSL4
PPARA	ACOX1
PPARA	ACSBG2
PPARG	GK
PPARG	UCP1
RXRA	APOA5
MAPK8	IL18
USF1	CTSB
NFIC	CYP17A1
TP53	IL8
CEBPA	ITGA2
ETS1	VWF
ETS2	VWF
