HRH2	GNAS
GNAS	SRC
SRC	HRAS
HRAS	JUN
SRC	STAT3
STAT3	STAT1
HRAS	FOS
SRC	PIK3R5
PIK3R5	HIF1A
STAT3	ESR1
ESR1	SP1
GNAS	GNB5
GNB5	MAPK1
MAPK1	SMAD3
MAPK1	SMAD4
GNB5	MAPK8
MAPK8	JUND
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
MAPK8	JUNB
MAPK1	ETS1
MAPK1	TP53
STAT3	MYC
SRC	RAC1
RAC1	NFKB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
TEAD1	GLI2
TEAD4	AXIN1
CREB3L2	MITF
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
SP1	CD9
ETS2	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
TFAP2A	GPX4
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	POLD2
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
