CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
MAPK8	TP53
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
SMAD3	TFDP1
TFDP1	E2F1
PRKCE	ARAF
ARAF	MAPK1
MAPK1	MYC
CREB5	ARC
GLI1	WNT4
GLI1	WNT9B
PIK3R2	AKT3
MYC	CDK4
MYC	MMP2
NFKB2	BIRC2
NFKB2	BIRC3
RELA	NOS2
ATF2	MCL1
CREB3L3	BCL2
CREB3L1	BCL2
PPARA	ACSL3
PPARA	ANGPTL4
PPARD	UBC
PPARD	ACOX2
PPARG	ACSL6
PPARG	SCD5
RXRA	ACSL1
RXRA	ACSL4
RXRA	SLC27A1
NFYA	HLA-DOB
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL6
PPARG	GADD45A
RARA	GADD45A
EGR1	JUN
TFAP2A	KRT5
JUN	MAT2A
