SLC12A2	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
MAPK1	ETS1
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	FOS
PRKACA	CREB1
MAPK1	SMAD3
PRKACA	MAPK8
MAPK8	JUND
MAPK1	STAT3
MAPK1	STAT1
MAPK1	SMAD4
MAPK8	JUNB
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
CREBBP	RXRB
CREBBP	RXRG
PRKACA	XBP1
XBP1	CEBPA
MAPK1	MYC
PRKACA	RELA
NFKB1	TP53
TNF	VCAM1
TFDP2	CCNE2
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
ELK1	BIRC2
ATF2	IL8
EP300	FASLG
MAPK8	JUN
RELA	MMP9
CREBBP	CDKN1B
CREBBP	FLT1
CREBBP	ANGPT4
CREBBP	PGF
EP300	CDKN1B
EP300	FLT1
EP300	ANGPT4
EP300	PGF
HIF1A	CDKN1B
HIF1A	FLT1
HIF1A	ANGPT4
LEF1	MITF
RELA	TRAF2
PIK3CG	AKT3
PIK3R3	AKT3
EPAS1	TGFA
MAX	CKS2
MYC	MMP2
NFKB1	TRAF3
NFKB2	BIRC2
NFKB2	BIRC7
NFKB2	TRAF4
ATF2	MCL1
FOXO3	PCK2
CREB3L3	BCL2
PPARA	FABP1
PPARA	ACSL1
PPARA	ANGPTL4
PPARD	CPT1C
PPARD	UBC
PPARG	ACSL4
PPARG	ACSBG1
PPARG	SCD5
RXRA	CPT2
RXRA	ACSL1
NFYC	LOC100507714
NFYC	LOC101060835
NFYC	HLA-DQA2
RFX5	HLA-DQA1
RFX5	HLA-DQA2
SPI1	B2M
USF1	B2M
SP2	CCND1
SP2	CD14
SP1	CD99
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
CREB1	CYP11A1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
POU5F1	HMGB2
STAT1	IFNG
SPI1	NFKB1
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
ESR1	PTMA
SP1	RPL15
TP53	S100B
PPARD	SERPINE1
ETS1	SLC26A3
ETV4	SPP1
CEBPA	TF
ATF1	TG
HOXA5	TH
SMAD3	TIMP1
ATF2	TNF
ETS1	TNNC1
SP3	TNNC1
PAX2	TP53
STAT3	TRH
PAX1	VHL
