HRH2	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKACA	CREB1
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS2
GNAS	SRC
SRC	STAT3
GNB5	MAPK14
MAPK14	CEBPB
MAPK1	ELK1
SRC	PIK3R5
PIK3R5	AKT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
SRC	RAC1
RAC1	NFKB1
PIK3R5	HIF1A
SRC	HRAS
HRAS	JUN
RAC1	RELA
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
ELK1	CCND2
MAPK9	SMAD4
STAT1	MYD88
CREBBP	PFKFB2
CREBBP	TEK
EP300	PFKFB2
EP300	TEK
HIF1A	PFKFB2
STAT4	CCND1
STAT5B	MYC
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB2	ICAM1
PIK3R1	AKT3
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
TP53	PTTG1
USF2	SERPINE1
WT1	SOD1
ATF1	TH
USF2	THBS1
NFKB1	TNNC1
CEBPB	TOP1
ETV4	VIM
