TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	ETS1
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	EP300
CREBBP	ARNT
MAPK8	FOS
MAPK1	STAT3
MAPK8	SMAD3
MAPK1	STAT1
MAPK8	JUND
MAPK8	SMAD4
MAPK8	JUNB
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
NOS1	HRAS
HRAS	JUN
GATM	NOS3
NOS3	CREB1
HRAS	PIK3R5
PIK3R5	HIF1A
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
HRAS	FOS
MAPK1	SMAD3
HRAS	MAPK8
MAPK1	SMAD4
MAPK1	NFKB1
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
MAPK1	NOS2
RFXAP	HLA-DRA
EGR1	FN1
NFKB1	FN1
RELA	FN1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
POU2F1	HIST2H2BE
FOS	HLA-DRA
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
