HTR4	GNAS
GNAS	SRC
SRC	HRAS
HRAS	JUN
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
SRC	STAT3
STAT3	ESR1
ESR1	SP1
HRAS	FOS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
STAT3	MYC
MAPK1	ETS1
ETS1	SPI1
PRKACA	CREB1
MAPK1	SMAD2
SMAD2	E2F4
PRKACA	ATF2
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB5
MAPK1	AR
SRC	RAC1
RAC1	NFKB1
PRKACA	ATF1
SRC	CTNNB1
CTNNB1	LEF1
LEF1	YAP1
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
MAPK1	MYC
MAPK1	CREB1
MAPK1	ATF2
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB5
HRAS	RAF1
RAF1	NFKB1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
CREB3L4	FOS
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
HIF1A	TIMP1
HIF1A	VEGFB
RELA	TRAF1
PIK3R5	AKT1
PIK3CB	PDPK1
PIK3CD	PDPK1
PLCG2	EGFR
NFYC	HLA-DQA1
MYB	TSC22D3
MYBL1	TSC22D3
LEF1	ADA
NFIC	ADA
USF2	CALCA
TFDP1	CAV1
E2F4	CAV1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
SPI1	CHI3L1
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
STAT3	IRF1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
