DRD2	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	STAT3
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	SMAD2
SMAD2	SP1
DRD1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
DRD1	GNAS
GNAS	SRC
SRC	STAT3
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
HRAS	MAPK1
CALM1	HRAS
CALM1	CAMK2A
CREBBP	ARNT
CREBBP	SP1
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
ELK1	CCND2
NFATC2	TNF
STAT1	MYD88
CREBBP	LDHA
CREBBP	TEK
EP300	LDHA
EP300	TEK
HIF1A	LDHA
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
STAT5A	SOCS4
STAT5B	SOCS5
MAPK9	IL1B
MAPK9	IL6
TP53	PTTG1
CEBPA	SERPINC1
WT1	SOD1
POU2F1	TFPI2
USF2	THBS1
POU2F1	TNF
CEBPB	TOP1
USF2	TYMS
ETS1	VWF
ETS2	VWF
NFIC	VWF
