CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
MAPK1	STAT1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
MAPK1	ELK1
ELK1	EGR1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	JUN
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
RXRB	PCK1
RXRB	PCK2
RXRB	ANGPTL4
RXRG	ACSL6
RXRG	GK
RXRG	GK2
RXRG	AQP7
RXRG	SLC27A1
RXRG	LPL
RXRG	PLIN1
RXRG	PLTP
RXRG	SCD
JUN	IL6
JUN	IL12A
JUN	IL12B
NFKB1	IL12B
NFKB1	CCL3L3
NFKB1	CCL3
SPI1	ITGAM
SPI1	CD14
CREB1	LOC100507709
MAPK11	IL18
MAPK11	NOS2
MAPK9	IL1A
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
