CES1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	NFKB1
OGT	CRTC2
CRTC2	CREBBP
CRTC2	EP300
OGT	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
AKT3	JUN
AKT3	RELA
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	ETS1
MAPK1	STAT3
MAPK1	STAT1
PRKCA	CREB1
CREB3L4	PDYN
CREB3L2	PDYN
EGR2	FASLG
MAPK9	SMAD4
CREBBP	ALDOA
CREBBP	PFKFB2
EP300	ALDOA
EP300	PFKFB2
HIF1A	ALDOA
HIF1A	PFKFB2
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELB	CCL13
PIK3R1	AKT3
RELA	IL1A
ATF3	ASNS
ATF4	ASNS
CREB1	ATP1A1
ATF2	CGA
CREB1	F3
STAT4	IRF1
CEBPA	IVL
RARB	S100A9
USF2	SERPINE1
SP1	TAF7
ATF1	TH
CEBPA	TK1
NFKB1	TNNC1
SP1	TPI1
ETV4	VIM
