MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	PRKACA
PRKACA	PPARA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
MAPK1	SMAD2
SMAD2	SP1
PRKCA	ATF4
MAPK1	ETS1
NFKB1	NFKB2
PRKCA	FOS
MAPK1	STAT1
CREB3	NPY
ATF6B	NPY
CREB5	NPY
CREB3L4	PDYN
CREB3L2	PDYN
GLI3	HHIP
RBPJ	CR2
EGR2	FASLG
CREBBP	ALDOA
EP300	ALDOA
HIF1A	ALDOA
HIF1A	PFKFB4
HIF1A	PFKL
STAT5A	SOCS7
STAT6	SOCS4
CREB1	MITF
PIK3CB	AKT3
BBC3	TP53AIP1
TP53	PMAIP1
TP53	STEAP3
TP53	RRM2
STAT3	VEGFC
EPAS1	VEGFB
FOS	VEGFB
NFKB2	BCL2
PIAS2	CDKN2B
CREB3L1	MCL1
PPARA	APOA5
PPARA	HMGCS2
PPARD	UCP1
PPARG	CPT1C
PPARG	MMP1
RXRA	ACSL3
RXRA	UBC
RXRB	GK2
NFYA	HLA-DPB1
MAPK1	IL6
RFXANK	HLA-DMB
RFXANK	HLA-DOA
MYB	TSC22D3
MYBL1	TSC22D3
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
USF1	APOA2
CEBPA	APOB
ATF2	CGA
CREB1	ERBB2
ELK1	ERBB2
STAT5B	IFNG
SP1	IL1A
STAT5B	IL2RA
STAT4	IRF1
CEBPA	IVL
FLI1	MMP9
ETV4	PTGS2
RARB	S100A9
SP1	TAF7
CEBPA	TK1
SP1	TPI1
ETS1	VWF
ETS2	VWF
