TUBB	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	TP53
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
RAF1	MAPK1
MAPK1	ETS1
AKT3	ATF4
AKT3	GSK3B
GSK3B	ARNTL
RHOA	DAAM1
DAAM1	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
RAF1	NFKB1
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
AKT3	MTOR
MTOR	PPARG
RAF1	RELA
MAPK8	ATF2
ATF2	ATF1
MAPK8	SMAD3
SMAD3	SP1
PPARA	CPT1C
GLI3	WNT8B
NR1H4	SLC51B
E2F3	CCNE1
TCF7L2	MYC
JUN	CXCL1
MAPK11	CXCL1
RBPJL	CR2
STAT5A	CCND2
MITF	TYRP1
RELA	TRAF2
FOS	MMP2
JUN	VEGFB
NFKB2	BIRC8
RFXAP	LOC100507714
RFXAP	HLA-DRB4
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
JUN	ALDOA
POU2F1	ALDOC
SP1	CD99
MYC	CDC25A
E2F4	CDC45
SP3	COL2A1
STAT3	FOS
ETS1	FOSL1
NFKB1	ICAM1
EGR1	MYB
JUN	MYC
TP53	MYC
ATF1	PLAUR
NFIC	POLE2
ETS1	PPP2R4
ATF4	PTGS2
