HRH1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
HRAS	MAPK1
MAPK1	MYC
RAF1	RELA
MAPK1	CREB1
HRAS	JUN
MAPK1	TP53
NFKB1	NFKB2
HRAS	MAPK14
MAPK14	CEBPB
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	FOS
MAPK1	ETS1
ETS1	SPI1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ELK1
ELK1	EGR1
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
LOC400927-CSNK1E	WWTR1
PRKACA	PPARA
MAPK1	SMAD2
SMAD2	SP1
NR3C2	ATP1A2
ATF6B	FOS
ATF4	FOS
EP300	PFKFB1
HIF1A	BCL2
ARNT	CDKN1A
ARNT	GAPDH
ARNT	HK3
STAT5A	SOCS7
STAT5A	CCND3
STAT6	SOCS4
HNF1A	HNF4A
CREB3L4	MITF
MITF	DCT
MAPK1	CDK4
NFKB1	IL1B
NFKB1	PLAU
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R3	PDPK1
TP53	SESN3
ETS1	FIGF
RXRA	ACADM
RXRA	SCD
RXRA	UBC
RXRB	ACSL6
RXRB	GK2
RXRB	HMGCS2
RXRB	APOA1
RXRG	FABP3
IRF7	IFNA14
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYC	HLA-DQB1
MAPK9	IL1B
MAPK9	IL6
NFAT5	PTGS2
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
WT1	ABCB1
USF2	B2M
TP53	BAK1
SMAD7	HMOX1
STAT3	HMOX1
CEBPB	IL5
ATF2	INS
SP1	ITGA2
JUN	TNNC1
POU2F1	VWF
