SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	MAPK1
MAPK1	MYC
MAPK1	ETS1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	FOS
PRKCA	MAPK3
MAPK1	TP53
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	RAF1
RAF1	NFKB1
MAPK1	ELK1
ELK1	EGR1
GLI3	WNT16
TCF7	BIRC5
NFKB1	CCL5
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
MAPK10	SMAD4
RELA	IL6
CREBBP	PFKFB4
CREBBP	PFKL
EP300	PFKFB4
EP300	PFKL
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	PLTP
RXRB	ACSBG1
RXRG	FADS2
MAX	CDK4
MAPK8	IL18
MAPK10	IL23A
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL18
USF2	APOC3
USF1	APOE
ELK1	CCT8
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
JUN	MMP7
ETS2	PLAU
ATF1	PPP2R4
PPARG	PTGS2
USF2	PTGS2
MYC	PTMA
POU2F1	SFTPA1
NFIC	SFTPC
CREM	TH
HOXA4	TH
SMAD3	TNNC1
SMAD4	TNNC1
