CHRM4	GNAI1
GNAI1	HRAS
HRAS	JUN
GNAI1	MAPK1
MAPK1	CREB1
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	NFKB1
MAPK1	RELA
CHRM1	PIK3R5
PIK3R5	AKT3
AKT3	JUN
AKT3	CREB1
AKT3	NFKB1
AKT3	RELA
CHRM2	PIK3R5
CHRM3	GNAQ
GNAQ	HRAS
CHRM3	GNG12
GNG12	MAPK1
GNG12	PIK3R5
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
CREB3L4	PDYN
CREB3L2	PDYN
GLI3	WNT5A
TP53	CDKN1A
EGR2	FASLG
MAPK9	JUN
CREBBP	ALDOA
CREBBP	PFKFB1
EP300	ALDOA
EP300	PFKFB1
HIF1A	ALDOA
HIF1A	PFKFB1
NFKB1	IL1B
NFKB1	PLAU
PIK3CG	PDPK1
FOXO3	G6PC2
ATF4	BCL2
PPARD	CPT1A
PPARD	ACADL
RXRA	CYP4A11
RXRA	CYP27A1
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB3L4	AQP2
ATF2	CGA
USF2	CTSB
SP1	CTSL
STAT4	IRF1
CEBPA	IVL
JUN	MT1A
TAL1	NFKB1
RARB	S100A9
SP1	SERPINE1
SP1	TAF7
PAX8	TG
CEBPA	TK1
JUN	TNNC1
SP1	TPI1
ERG	VIM
