CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
PPAP2A	PRKCE
PRKCE	PPP1CA
PPP1CA	CREB1
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PLCB1	CAMK2A
CAMK2A	STAT1
STAT1	MYD88
PRKCD	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
PRKCE	RAF1
RAF1	AKT3
AKT3	IRF3
RAF1	NFKB1
RAF1	RELA
SOS1	BCL2L1
STAT5A	SOCS2
STAT6	CCND1
EPAS1	FIGF
FOS	IL8
NFKB2	BCL2L1
NFKB1	MYB
PPARA	CPT2
PPARD	ILK
PPARG	CPT1A
RXRA	DBI
RXRA	ACOX3
RXRA	CD36
RXRB	CYP8B1
RXRB	EHHADH
RXRB	FABP1
RXRB	ACADL
RXRB	APOA2
RXRB	PCK1
RXRG	APOA5
RXRG	CPT1B
RXRG	CYP4A11
ETS1	FOSL1
