DRD2	GNAI1
GNAI1	MAPK1
MAPK1	CREB1
GNAI1	HRAS
HRAS	JUN
MAPK1	MYC
MAPK1	NFKB1
MAPK1	RELA
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
NFKB1	MYB
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT3
MAPK1	SMAD3
DRD1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
DRD1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
GNAS	SRC
SRC	STAT3
CALM1	CAMK2A
CAMK2A	CREB1
CALM1	HRAS
CALM1	ADCY1
CAMK2A	CREBBP
CREBBP	MYB
CREBBP	SP1
CALM2	CAMK2A
CALM2	HRAS
CALM2	ADCY1
CALM3	CAMK2A
CALM3	HRAS
CALM3	ADCY1
CREB3	CRH
CREB5	BDNF
STAT4	CCND3
STAT5B	CCND2
RFXAP	HLA-DMA
CEBPB	ABCB1
SP1	CD9
USF2	CEACAM5
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CHI3L1
USF1	HMOX1
STAT4	IFNG
CEBPB	IL4
