CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
ELK1	EGR1
HRAS	RAF1
RAF1	RELA
MAPK1	TP53
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
RAF1	NFKB1
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
LOC400927-CSNK1E	WWTR1
CREBBP	EPAS1
MAPK1	ESR1
PIK3R5	MTOR
MTOR	PPARG
MAPK1	SMAD3
HRAS	JUN
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	RAF1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
PRKCA	PRKACA
SMAD2	YAP1
SMAD2	WWTR1
PRKCA	EGLN2
EGLN2	EPAS1
PRKCA	HRAS
ATF6B	FOS
ATF4	FOS
TP53	CDKN1A
ATF6B	PCNA
EGR3	FASLG
CREBBP	ENO2
CREBBP	FIGF
EP300	ENO2
EP300	FIGF
HIF1A	ENO2
HIF1A	FIGF
ARNT	EGF
ARNT	LDHA
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
STAT4	SOCS3
STAT5B	CCND3
HNF1A	HNF4G
VDR	SLC34A2
RXRG	FABP3
IRF7	IFNA14
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
RFXANK	HLA-DMB
RFXANK	HLA-DOA
SP1	CDKN1C
SP1	COL1A1
NFKB1	CSF1
ETS1	CSF2
STAT3	CSRP1
RELA	CTSB
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
JUN	F3
JUND	F3
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ATF2	INS
SP1	ITGA2
TAL1	NFKB1
RARB	S100A8
RARG	S100A9
POU2F2	SPP1
TFAP2A	TAF7
STAT3	TIMP1
ATF1	TNF
TP53	TP53
CREB1	TRH
