STAT3	PIM2
NR3C2	ATP1A2
CREB3L3	FOS
CREB3L1	PDYN
RELA	XIAP
GLI1	WNT16
GLI1	WNT8B
GLI1	WNT9A
GLI3	WNT3
GLI3	WNT8A
GLI3	WNT3A
E2F2	CCNE2
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
ATF2	PCNA
MAPK8	SMAD4
CREBBP	EDN1
CREBBP	PDK1
EP300	EDN1
EP300	PDK1
HIF1A	EDN1
HIF1A	PDK1
ARNT	CDKN1B
ARNT	ENO2
SOS1	SPRED2
STAT4	SOCS1
STAT5A	SOCS7
STAT5B	CCND1
STAT6	SOCS4
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	CCL4L1
RELA	NFKB2
RELA	TRAF2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT3
PIK3CG	AKT2
PIK3R3	AKT3
PIK3R3	AKT2
RBPJ	HES5
TP53	BAX
MAX	CKS1B
NFKB2	BIRC2
NFKB2	TRAF5
CREB3L3	BCL2
PPARA	DBI
PPARD	UBC
PPARG	ACSL1
RXRA	ACSL1
RXRA	PLIN1
RXRA	UBC
RXRB	DBI
RXRB	EHHADH
RXRB	FABP4
RXRB	ACSL4
RXRB	GK2
RXRB	LPL
RXRG	CPT1A
RXRG	CPT1B
RXRG	CPT2
MAPK9	IL1B
MAPK9	IL6
NFIC	AFP
EGR1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
SP1	CD99
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
ESR1	CGA
ETS2	CGA
ETV4	FOS
FLI1	FOS
E2F4	HSP90B1
CEBPB	IL5
JUNB	IVL
CREB1	JUN
SP3	KLK3
SP1	KRT5
USF1	LIPC
ETS1	LYZ
FOS	MT1A
CEBPE	MYB
ESR1	MYC
TFAP2A	MYC
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
RELA	S100A6
PPARG	SERPINE1
JUN	SPP1
CREB1	TG
SMAD4	TIMP1
FLI1	TNNC1
PAX5	TP53
TFAP2A	VHL
