TUBB	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	JUN
RHOA	RAF1
RAF1	MAPK1
MAPK1	ETS1
MAPK1	MYC
MAPK8	FOS
RAF1	NFKB1
NFKB1	HIF1A
MAPK8	SMAD3
SMAD3	CREBBP
SMAD3	EP300
HIF1A	ARNT
MAPK1	STAT3
MAPK1	STAT1
RAF1	RELA
CREBBP	EPAS1
MAPK8	TP53
SMAD3	SP1
MAPK8	ELK1
ELK1	SPI1
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PRKACA	XBP1
XBP1	CEBPA
RAF1	AKT3
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
AKT3	MTOR
MTOR	PPARG
AKT3	CREB1
AKT3	GSK3B
GSK3B	ARNTL
RHOA	DAAM1
DAAM1	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	NPAS2
GSK3B	CLOCK
CREB3L3	FOS
CREB5	ARC
NFKB1	BCL2
RELA	XIAP
GLI1	WNT4
GLI1	WNT3
GLI1	WNT8B
GLI1	WNT9B
GLI2	WNT4
GLI3	WNT11
NR1H4	SLC51A
SMAD2	CDKN1A
IRF3	IFNB1
SMAD3	MYC
MAPK8	SMAD4
CREBBP	ANGPT1
CREBBP	HK1
CREBBP	PDK1
EP300	ANGPT1
EP300	HK1
EP300	PDK1
HIF1A	ANGPT1
HIF1A	HK1
HIF1A	PDK1
MITF	TYR
MITF	TYRP1
LEF1	MITF
CREB3L3	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	NFKB2
RELA	TRAF1
RELB	TNFSF13B
PIK3R5	AKT1
PIK3R5	PDPK1
PIK3CD	PDPK1
PIK3CG	AKT2
PLCG2	EGFR
PIK3R3	AKT2
MYC	MMP2
MYC	VEGFB
CREB3	BCL2
ATF2	MCL1
FOXO3	BCL2L11
PPARA	LPL
PPARA	ANGPTL4
PPARA	SCD5
PPARG	PLIN1
PPARG	SCD5
RXRA	SLC27A4
CREB1	HLA-DPB1
NFYA	LOC101060835
NFYB	HLA-DPA1
RFX5	LOC100507714
RFX5	HLA-DQB1
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CCND1
ELK1	CCT8
SP1	CD44
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
CEBPB	F8
AR	F9
NFKB1	FBP1
JUNB	IVL
EGR1	JUN
RARB	JUN
SP3	KLK3
TFAP2A	KRT5
CREM	LDHC
USF1	LIPC
JUN	MAT2A
NFIC	MBP
ETV4	MYB
MYBL2	MYC
SP3	MYCN
RELA	SAA2
SPI1	SCARB2
PPARG	SERPINE1
ESR1	TFF1
EGR1	TFPI2
CREB1	TG
CEBPD	TNF
EGR4	TNF
FLI1	TNNC1
JUN	TSHB
JUN	TXN
TFAP2A	VHL
