HRH2	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
GNAS	SRC
SRC	STAT3
STAT3	STAT1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
SRC	HRAS
HRAS	FOS
STAT3	MYC
SRC	RAC1
RAC1	RELA
SRC	PIK3R5
PIK3R5	HIF1A
HRAS	JUN
STAT3	ESR1
ESR1	SP1
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
MAPK1	TP53
RAC1	NFKB1
ETS1	SPI1
PIK3R5	GSK3B
GSK3B	ARNTL
ARNTL	NPAS2
GSK3B	CLOCK
GLI3	WNT8B
GLI3	WNT11
NR1H4	SLC51B
NR1H4	SLC51A
E2F3	CCNE1
SMAD2	CDKN1A
ELK1	BIRC3
NFATC1	TNF
MAPK8	JUN
MAPK9	JUN
RELA	TNF
CREBBP	HMOX1
CREBBP	ANGPT4
CREBBP	PFKFB1
CREBBP	PGK1
EP300	HMOX1
EP300	ANGPT4
EP300	PFKFB1
EP300	PGK1
HIF1A	HMOX1
HIF1A	ANGPT4
HIF1A	PFKFB1
STAT5A	SOCS7
STAT6	SOCS4
VDR	S100G
NFKB1	IL1B
NFKB1	NFKB2
NFKB1	PLAU
NFKB1	CCL4
NFKB1	TRAF1
NFKB1	CFLAR
NFKB2	TNFSF13B
RELA	VCAM1
RELB	ICAM1
PIK3R5	AKT2
PIK3CA	AKT3
PIK3CG	AKT1
PIK3CG	PDPK1
PIK3R3	AKT1
PIK3R3	PDPK1
RXRA	UBC
RXRB	GK2
RXRB	ME1
RXRB	PCK2
RXRB	ANGPTL4
RXRB	PLIN1
RXRB	PLTP
RXRB	SCP2
RXRG	FABP4
RXRG	GK
RXRG	GK2
RXRG	HMGCS2
RXRG	ACADL
RXRG	APOA2
RXRG	SLC27A1
RXRG	LPL
RXRG	OLR1
RXRG	ACOX1
RXRG	PCK2
RXRG	PLTP
RXRG	SCD
RXRG	UCP1
RXRG	SCD5
RXRG	ACOX2
IRF7	IFNA10
JUN	IL12A
JUN	IL12B
JUN	CCL3
JUN	CCL3L1
JUN	CCL5
NFKB1	CCL3L3
NFKB1	CCL3
RELA	IL12B
RELA	CCL3L3
RELA	CCL3L1
SPI1	CD14
CREB1	LOC100507709
CREB1	LOC101060835
CREB1	HLA-DMA
CREB1	HLA-DOA
MAPK1	NOS2
MAPK1	IL23A
MAPK11	IL12B
MAPK11	TNF
SP1	GAST
SP1	ADH6
TFAP2A	ADM
USF1	B2M
USF2	B2M
TP53	BAK1
SP1	CCND1
SP2	CCND1
SP2	CD14
USF2	CEACAM6
ATF1	CGA
STAT1	EGFR
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
EGR1	MYB
ETV4	MYB
JUN	MYC
MYBL2	MYC
TP53	MYC
SP3	MYCN
EGR1	PTP4A1
SP1	SERPINB2
PPARD	SERPINE1
SP1	SERPINE1
CREB1	SLC9A1
NFKB1	TFPI2
ATF1	TG
PAX8	TG
TFAP2A	TH
ETV4	TNF
ETS1	TNNC1
JUN	TNNC1
SP3	TNPO1
USF1	TYMS
PAX1	VHL
ERG	VIM
