HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CREB1
HRAS	JUN
MAPK1	ELK1
ELK1	EGR1
MAPK1	ATF2
CREB3	FOSB
CREB1	FOSB
TCF7L2	MYC
TCF7L1	BIRC5
RBPJ	FCER2
CTNNB1	CCND3
MAPK9	JUN
RELA	IL6
CREBBP	PFKFB1
CREBBP	PFKL
EP300	PFKFB1
EP300	PFKL
HIF1A	PFKFB1
NFKB1	IL1B
NFKB1	PLAU
PIK3CG	PDPK1
RXRB	PCK1
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
SP3	ABCA1
TP53	CAV1
SP3	COL2A1
MYC	EIF4E
STAT5A	IFNG
CEBPB	IGF2
ATF1	PLAUR
SP2	PLP1
PPARG	PTGS2
MYC	PTMA
SP1	SERPINE1
NFIC	SFTPC
PAX8	TG
HOXA4	TH
JUN	TNNC1
SMAD4	TNNC1
ERG	VIM
