HRH1	GNAQ
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
HRAS	JUN
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
HRAS	MAPK1
MAPK1	TP53
MAPK1	MYC
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	CREB1
MAPK1	STAT3
MAPK1	STAT1
HRAS	FOS
MAPK1	ETS1
STAT1	MYD88
HRAS	MAPK3
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
PDE4A	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
PPARA	RXRA
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	TP53
PRKACA	MAPK1
PRKACA	NFKB1
PRKACA	RELA
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	CREB1
MAPK8	FOS
NFKB1	TRAF6
TRAF6	MYD88
PRKACA	MAPK3
SMAD3	YAP1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PAX8
PAX8	RXRA
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	JUN
PRKCA	PRKACA
PRKCA	MAPK1
AKT2	NFKB1
AKT2	RELA
PRKCA	CREB1
GSR	GSTO2
GSTO2	CYP2A13
CYP2A13	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
JAK2	STAT1
PRKCA	FOS
PRKCA	MAPK3
AKT2	PPP1CA
PPP1CA	YAP1
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
TCF7L2	MYC
ARNT	EDN1
TEAD1	GLI2
TEAD4	AXIN1
SOS1	SPRY1
SOS1	SPRY2
SOS1	SPRED1
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND1
STAT5B	MYC
PAX6	GCK
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
MYD88	IFNA13
ATF3	ASNS
ATF4	ASNS
CREB1	ATP1A1
SP3	CD14
EGR1	CD44
E2F4	CDK1
ETS2	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
EGR1	COL2A1
SP3	COL2A1
TFAP2A	HMOX1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
ATF1	PLAUR
