DRD2	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ESR1
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ETS1
GNAI1	HRAS
HRAS	JUN
MAPK1	TP53
MAPK1	ATF2
MAPK1	STAT3
PIK3R5	MTOR
MTOR	PPARG
MAPK1	NFKB1
MAPK1	RELA
GNAI1	MAPK8
MAPK8	JUND
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	SP1
ADRA1A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
CRTC2	EP300
PRKAG2	MTOR
MTOR	HIF1A
MTOR	PRKCA
PRKCA	PRKACA
CREBBP	TP53
CRTC2	ATF2
ADRA1A	GNA13
GNA13	SRC
SRC	STAT3
MTOR	AKT3
AKT3	NFKB1
AKT3	RELA
HRAS	MAPK8
GLI3	WNT16
CTNNB1	CCND2
ELK1	CCND2
NFAT5	TNF
CREB1	PCNA
MAPK10	SMAD4
STAT1	MYD88
CREB5	IL8
CREBBP	CDKN1A
CREBBP	PFKFB4
CREBBP	TEK
CREBBP	VEGFC
EP300	CDKN1A
EP300	PFKFB4
EP300	TEK
EP300	VEGFC
HIF1A	CDKN1A
STAT5A	SOCS1
STAT6	PIM1
NFYA	LOC100507714
NFYA	LOC100509457
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK1	NOS2
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RELA	CEBPB
RELA	IL18
MYBL2	CDKN1C
CEBPA	ABCB1
CEBPB	ABCB1
JUN	MMP7
USF2	PTGS2
TP53	PTTG1
TP53	RELA
SP1	RPL10
POU2F1	SFTPA1
WT1	SOD1
SP1	SPN
ETS2	SPP1
CREM	TH
USF2	THBS1
JUN	TIMP1
JUND	TIMP1
SMAD3	TNNC1
CEBPB	TOP1
JUN	TP53
NFKB1	TP53
