HTR2A	GNAQ
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	JUN
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
MAPK1	STAT1
MAPK1	CREB1
MAPK1	SMAD3
HRAS	FOS
MAPK1	SMAD4
MAPK1	STAT3
HRAS	MAPK8
MAPK8	JUND
DRD2	GNAI1
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
GNAI1	HRAS
GNAI1	MAPK1
DRD2	PPP2CA
PPP2CA	STAT1
GNAI1	MAPK8
GRIA2	GRIN1
GRIN1	CALML6
CALML6	CAMK2A
GRIA2	LYN
LYN	PIK3R5
CALML6	HRAS
CREBBP	SP1
GRIN1	NOS1
NOS1	MAPK1
CAMK2A	STAT1
LYN	PRKCA
PRKCA	CREB1
PRKCA	FOS
LYN	PTK2
PTK2	MAPK14
MAPK14	JUND
GRIA3	GRIN1
GRIA3	LYN
ELK1	BIRC2
MAPK8	JUN
MAPK10	JUN
RELA	MMP9
CREBBP	ANGPT4
CREBBP	PFKFB3
CREBBP	PGF
EP300	ANGPT4
EP300	PFKFB3
EP300	PGF
HIF1A	ANGPT4
HIF1A	PFKFB3
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
ESR1	PTMA
PPARD	SERPINE1
JUN	SFTPA1
ETS1	SLC26A3
ATF1	TG
CREB1	TH
HOXA5	TH
ETS1	TNNC1
SMAD2	TNNC1
SP3	TNNC1
PAX1	VHL
ERG	VWF
