NPAS2	PER3
CLOCK	RORB
TCF7	MYC
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
ESR1	ATP2B1
MAPK14	IL8
JUN	CXCL1
RBPJL	FGR
RBPJL	MYC
RBPJ	FGR
RBPJ	MYC
TP53	MDM2
CTNNB1	CCND1
HIF1A	PFKFB4
HIF1A	PFKL
STAT5A	SOCS4
STAT5B	SOCS5
RELA	CCL4
RFX5	CD74
RFXAP	LOC100507709
JUN	ALDOA
POU2F1	ALDOC
CREB1	ARG1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
ERG	HMOX1
E2F4	PCNA
SP3	PDGFB
POU2F1	PLAU
RARA	PLAU
SP1	PLAU
ATF1	PLAUR
TP53	PLK1
SP2	PLP1
E2F1	POLA
JUN	POLA
E2F4	POLE2
NFIC	POLE2
CEBPD	PTGS2
CREB1	PTGS2
RARB	PTGS2
REL	PTGS2
TFAP2A	PTGS2
USF1	PTGS2
ETS1	VWF
ETS2	VWF
