DRD2	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
MAPK1	CREB1
MAPK1	ATF2
NFKB1	NFKB2
GNAI1	MAPK14
MAPK14	CEBPB
GNAI1	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
ADRA1A	PRKAG2
PRKAG2	MTOR
MTOR	AKT3
AKT3	NFKB1
AKT3	RELA
PRKAG2	CRTC2
CRTC2	CREB1
CRTC2	ATF2
AKT3	CHUK
CHUK	NFKB2
ADRA1A	GNAQ
GNAQ	HRAS
HRAS	MAPK14
CALM1	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
CALM1	CAMK2A
CAMK2A	CREB1
CAMK2A	ATF2
HRAS	PIK3R5
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
TNNC1	PLCD3
PLCD3	PIK3R5
PIK3R5	AKT3
PLCD3	PRKCA
PRKCA	CREB1
PRKCA	ATF2
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
STAT4	SOCS5
STAT5B	SOCS3
TP53	SESN1
SP3	CD83
EGR1	CD9
SP1	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
JUNB	DCN
