DRD2	GNAI1
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CREB1
MAPK1	RELA
DRD1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
DRD1	GNAQ
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
GNAQ	HRAS
HRAS	PIK3R5
HRAS	MAPK1
HRAS	RAF1
RAF1	RELA
CALM1	ADCY1
CALM1	CAMK2A
CALM1	HRAS
CREBBP	ARNT
CREBBP	SP1
CAMK2A	CREB1
CALM2	ADCY1
CALM2	CAMK2A
CALM2	HRAS
CALM3	ADCY1
CALM3	CAMK2A
CALM3	HRAS
CREB3L1	CRH
CREB3L1	NPY
CREB1	PCNA
ATF6B	IL8
FOS	MMP9
CREBBP	CDKN1A
CREBBP	ENO1
CREBBP	GAPDH
EP300	CDKN1A
EP300	ENO1
EP300	GAPDH
HIF1A	CDKN1A
HIF1A	ENO1
HIF1A	GAPDH
STAT5B	MYC
USF1	CCNB1
USF2	CCNB1
TFAP2A	HMOX1
REL	IL2RA
STAT1	IL2RA
SP1	RPL10
RARA	S100A8
NFKB1	SAA2
ETS2	SPP1
POU2F1	SPP1
CREB1	TF
JUND	TIMP1
STAT1	TIMP1
CEBPB	TNF
NFKB1	TP53
STAT1	TP53
FOS	TSHB
