HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
HRAS	JUN
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
HRAS	RAF1
RAF1	NFKB1
GNAQ	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT3
MAPK1	STAT1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	TP53
RAF1	RELA
MAPK1	CREB1
GNAQ	PLCB1
PLCB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	ETS1
MAPK1	MYC
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PIK3R5	MTOR
MTOR	PPARG
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
GLI3	HHIP
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
TCF7	BIRC5
HIF1A	TIMP1
HIF1A	VEGFA
ARNT	CDKN1A
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	ITGB2
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
CREB1	MITF
CREBBP	MITF
EPAS1	TGFB1
ETS1	VEGFC
MYC	CDK4
RELA	NOS2
FOXO3	G6PC2
PPARA	ACSL3
PPARD	CPT1A
PPARG	ACSL6
RXRA	CYP4A11
MYD88	IFNA8
NFYA	LOC100507714
NFYC	HLA-DQA1
RFX5	CD74
RFXAP	LOC100507709
MAPK12	IL1B
RFXANK	HLA-DMA
SP1	COL4A2
USF2	CALCA
TFDP1	CAV1
E2F4	CAV1
ETS2	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
ETS1	DNTT
EGR1	FN1
NFKB1	FN1
RELA	FN1
SMAD7	HMOX1
STAT3	HMOX1
FLI1	MMP9
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
ETS2	PLAU
