ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	TP53
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
MAPK1	STAT3
PIK3R5	AKT3
AKT3	CDKN1A
CDKN1A	CCNA1
CCNA1	E2F1
CCNA1	E2F2
CCNA1	E2F3
AKT3	FOXO3
PRKCA	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
AKT3	JUN
PIK3R5	GSK3B
GSK3B	MYC
AKT3	NFKB1
NFKB1	CEBPB
MAPK1	ESR1
MAPK1	STAT1
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKCA	CREB1
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
HIF1A	EP300
HIF1A	ARNT
PRKACA	PPARA
PRKCA	FOS
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
MAPK1	SMAD3
CREBBP	RBPJL
CREBBP	RBPJ
AKT3	PPP1CA
PPP1CA	YAP1
AKT3	FOXO1
EGFR	STAT5A
EGFR	STAT5B
STAT5A	STAT2
STAT5A	STAT4
STAT5A	STAT6
MAPK1	ETS1
AKT3	RELA
EGFR	SOS1
EGFR	SOS2
RXRA	RARB
MAPK1	ELK1
ELK1	EGR1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
AKT3	MDM2
MDM2	RB1
RB1	TFDP2
NFKB1	MYB
PRKCA	MAPK3
PIK3R5	HRAS
HRAS	MAPK14
MAPK14	MAX
PRKCA	ATF2
JUP	MYC
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
GLI2	WNT3A
TFDP2	CCNE2
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	BHLHE40
CLOCK	PER2
FOSB	CDK5
FOSB	NFKB1
TCF7L2	MYC
TCF7L1	BIRC5
MAPK14	CXCL1
RBPJ	CR2
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
LEF1	AXIN1
LEF1	NKD1
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
FOXO1	FBP2
SOS1	SPRY3
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
HNF1A	HNF4A
CREB3L4	MITF
MITF	TYRP1
LEF1	MITF
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
NFKB1	FIGF
NFKB1	VEGFC
EPAS1	PGF
ETS1	MMP1
FOS	PGF
HIF1A	PDGFB
JUN	MMP2
MYC	VEGFC
NFKB2	TRAF3
NFKB2	BIRC7
CREB3	BCL2
FOXO3	CDKN1B
CREB3L2	BCL2
PPARA	CYP8B1
PPARA	FABP1
PPARA	LPL
PPARA	ACSBG2
PPARD	ANGPTL4
PPARG	FABP4
PPARG	ACSL4
PPARG	PLIN1
RXRA	APOA5
RXRA	FABP1
RXRA	ACADL
MYD88	IFNA6
MYD88	IFNA8
MYD88	IFNA13
NFYA	HLA-DQA1
NFYB	HLA-DRB1
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DQA1
NFYC	HLA-DQA2
MAPK3	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
MAPK12	IL1A
NFATC1	PTGS2
PPARG	SAT1
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP2	CCND1
SP1	CD14
SP2	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CEACAM6
TFAP2A	COL1A1
EGR1	COL2A1
SP3	COL2A1
USF2	CTSB
SP1	CTSL
TFAP2A	CYP11A1
PPARG	GADD45A
RARA	GADD45A
TFAP2A	GH2
USF1	GH2
USF2	GH2
SP1	GJA1
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
POU5F1	HMGB2
TFAP2A	HMOX1
CEBPB	HP
ERG	MMP2
FLI1	MMP2
SPI1	MMP2
NFKB1	MMP3
SPI1	NFKB1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
SP1	PDHA1
PAX6	PDHX
ATF3	PENK
JUN	PENK
ATF1	PLAUR
SP2	PLP1
TFAP2A	POLD2
ETV4	PTGS2
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
