HRH2	GNAS
GNAS	SRC
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
SRC	STAT3
GNAS	GNB5
GNB5	MAPK14
MAPK14	CEBPB
GNB5	MAPK1
MAPK1	TP53
SRC	PIK3R5
PIK3R5	AKT3
AKT3	IKBKG
IKBKG	TBK1
TBK1	REL
SRC	HRAS
HRAS	JUN
HRAS	FOS
PIK3R5	HIF1A
STAT3	MYC
STAT3	STAT1
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	PAX8
MAPK1	ETS1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	ELK1
ELK1	EGR1
SRC	CTNNB1
CTNNB1	LEF1
LEF1	YAP1
YAP1	BBC3
PRKACA	PPARA
EP300	ANGPT4
NEUROG3	PAX6
MAPK1	CDK4
PIK3R2	AKT3
EPAS1	SLC2A1
FOS	PGF
NFKB2	TRAF6
CREB3L2	BCL2
PPARA	EHHADH
PPARD	ANGPTL4
PPARG	ACSL3
RXRA	FABP1
RXRG	EHHADH
RXRG	FABP3
IRF7	IFNA8
IRF7	IFNA14
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
USF1	CTSB
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
ETS1	TNNC1
