PTGS2	ADCY5
ADCY5	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	SMAD3
SMAD3	E2F4
ADCY5	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	CREB1
PRKACA	ATF2
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
SMAD3	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
SMAD3	WWTR1
CREBBP	RXRB
CREBBP	RXRG
GLI3	WNT4
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
HIF1A	TIMP1
ARNT	HK2
YAP1	ID2
YAP1	AXIN1
WWTR1	ITGB2
PAX6	PDX1
EPAS1	TGFA
FOS	VEGFB
NFKB2	TRAF4
ATF4	BCL2
CREB3L1	MCL1
PPARA	ACSL1
PPARD	ACADL
PPARD	UCP1
PPARG	ACSBG1
RXRA	CYP27A1
RXRA	ACSL3
NFYC	HLA-DQA2
MAPK9	TNF
CREB1	ADRB2
SP3	CD14
EGR1	CD44
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
ERG	MMP9
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
