DRD2	GNAI1
GNAI1	MAPK14
MAPK14	CEBPB
GNAI1	MAPK1
MAPK1	STAT3
MAPK1	SMAD2
SMAD2	SP1
MAPK1	RELA
MAPK1	NFKB1
GNAI1	HRAS
HRAS	JUN
MAPK1	ETS1
MAPK1	ELK1
ELK1	EGR1
MAPK1	ATF2
ADRA1A	GNAQ
GNAQ	HRAS
HRAS	MAPK14
ADRA1A	GNA13
GNA13	SRC
SRC	STAT3
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	SP1
PRKAG2	MTOR
MTOR	AKT3
AKT3	RELA
AKT3	NFKB1
HRAS	MAPK1
CRTC2	ATF2
CALM1	HRAS
CALM1	CAMK2A
CAMK2A	CREBBP
HRAS	RAF1
RAF1	RELA
RAF1	NFKB1
CAMK2A	ATF2
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
TNNC1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
PIK3R5	AKT3
PRKCA	ATF2
MAPK11	IL8
RBPJL	FCER2
RXRB	ACAA1
MAPK9	IL18
RFXAP	LOC100509457
RFXAP	HLA-DMA
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
SP1	CDKN1C
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
ATF1	GH2
CREB1	GH2
NFKB1	PPP2R4
CEBPB	PTGS2
